packet_index;timestamp;length;direction;num_cells;ack
0;1527566027.186058;202;1;0.000000;0
1;1527566027.186212;66;1;0.000000;1
5;1527566030.060814;74;1;0.000000;0
7;1527566030.300549;74;-1;0.000000;1
8;1527566030.300830;66;1;0.000000;1
9;1527566030.301120;260;1;0.000000;0
12;1527566031.223381;1070;-1;1.000000;0
13;1527566031.223701;66;1;0.000000;1
14;1527566031.225063;192;1;0.000000;0
15;1527566031.464599;117;-1;0.000000;0
16;1527566031.465101;106;1;0.000000;0
17;1527566031.705191;2115;-1;4.000000;0
18;1527566031.705434;66;1;0.000000;1
19;1527566031.706594;1637;1;3.000000;0
20;1527566031.946055;66;-1;0.000000;1
21;1527566031.954147;1123;-1;2.000000;0
22;1527566031.955496;1123;1;2.000000;0
23;1527566032.229035;609;-1;1.000000;0
24;1527566032.229333;609;1;1.000000;0
25;1527566032.468305;609;-1;1.000000;0
26;1527566032.468581;609;1;1.000000;0
27;1527566032.707513;609;-1;1.000000;0
28;1527566032.707850;609;1;1.000000;0
29;1527566032.989425;66;-1;0.000000;1
30;1527566032.989751;609;1;1.000000;0
32;1527566033.111304;609;-1;1.000000;0
33;1527566033.150939;66;1;0.000000;1
34;1527566033.228946;66;-1;0.000000;1
35;1527566033.229242;609;1;1.000000;0
37;1527566033.389915;609;-1;1.000000;0
38;1527566033.390183;66;1;0.000000;1
39;1527566033.474533;66;-1;0.000000;1
40;1527566033.474700;609;1;1.000000;0
41;1527566033.629125;609;-1;1.000000;0
42;1527566033.629453;66;1;0.000000;1
43;1527566033.713602;66;-1;0.000000;1
44;1527566033.713909;609;1;1.000000;0
45;1527566033.868405;609;-1;1.000000;0
46;1527566033.868704;66;1;0.000000;1
47;1527566033.952753;66;-1;0.000000;1
48;1527566034.062507;609;1;1.000000;0
49;1527566034.107590;609;-1;1.000000;0
50;1527566034.107865;66;1;0.000000;1
51;1527566034.288370;1454;1;2.000000;0
52;1527566034.301381;66;-1;0.000000;1
53;1527566034.301554;307;1;0.000000;0
54;1527566034.346970;609;-1;1.000000;0
55;1527566034.347104;66;1;0.000000;1
56;1527566034.527528;66;-1;0.000000;1
58;1527566034.540710;609;1;1.000000;0
59;1527566034.586079;609;-1;1.000000;0
60;1527566034.586344;66;1;0.000000;1
61;1527566034.779645;66;-1;0.000000;1
62;1527566034.825280;1152;-1;2.000000;0
64;1527566034.837124;2842;-1;5.000000;0
66;1527566034.887203;1454;-1;2.000000;0
68;1527566035.062075;1123;1;2.000000;0
69;1527566035.064445;1129;-1;2.000000;0
70;1527566035.064590;66;1;0.000000;1
71;1527566035.072704;1454;1;2.000000;0
74;1527566035.301108;66;-1;0.000000;1
75;1527566035.301399;249;1;0.000000;0
76;1527566035.311455;609;-1;1.000000;0
77;1527566035.350962;66;1;0.000000;1
78;1527566035.353897;66;-1;0.000000;1
80;1527566035.540728;609;1;1.000000;0
81;1527566035.721727;2151;-1;4.000000;0
82;1527566035.721914;66;1;0.000000;1
83;1527566035.779627;66;-1;0.000000;1
84;1527566035.779926;1123;1;2.000000;0
85;1527566035.960958;609;-1;1.000000;0
86;1527566035.961275;66;1;0.000000;1
87;1527566036.018890;66;-1;0.000000;1
88;1527566036.019242;609;1;1.000000;0
90;1527566036.258522;609;1;1.000000;0
92;1527566036.518464;1123;-1;2.000000;0
93;1527566036.518761;66;1;0.000000;1
94;1527566036.519565;609;1;1.000000;0
95;1527566036.799510;66;-1;0.000000;1
96;1527566036.870489;609;-1;1.000000;0
97;1527566036.871257;609;1;1.000000;0
98;1527566037.110182;66;-1;0.000000;1
99;1527566037.110454;609;1;1.000000;0
101;1527566037.218972;609;-1;1.000000;0
102;1527566037.259027;66;1;0.000000;1
103;1527566037.260984;2842;-1;5.000000;0
105;1527566037.314540;1454;-1;2.000000;0
107;1527566037.349394;66;-1;0.000000;1
108;1527566037.497931;644;-1;1.000000;0
110;1527566037.498969;609;1;1.000000;0
111;1527566037.509133;1454;1;2.000000;0
112;1527566037.737928;66;-1;0.000000;1
113;1527566037.738102;249;1;0.000000;0
115;1527566037.851200;609;-1;1.000000;0
116;1527566037.891050;66;1;0.000000;1
117;1527566037.976961;66;-1;0.000000;1
118;1527566037.977277;609;1;1.000000;0
119;1527566038.153775;609;-1;1.000000;0
120;1527566038.154103;66;1;0.000000;1
121;1527566038.216186;66;-1;0.000000;1
122;1527566038.392999;609;-1;1.000000;0
125;1527566039.752611;609;1;1.000000;0
126;1527566039.991499;66;-1;0.000000;1
127;1527566039.991633;609;1;1.000000;0
130;1527566040.413811;609;-1;1.000000;0
131;1527566040.414129;66;1;0.000000;1
132;1527566040.546066;609;1;1.000000;0
133;1527566040.712448;1123;-1;2.000000;0
134;1527566040.712732;66;1;0.000000;1
135;1527566040.784999;66;-1;0.000000;1
136;1527566040.785297;609;1;1.000000;0
137;1527566040.951709;609;-1;1.000000;0
138;1527566040.952037;66;1;0.000000;1
139;1527566041.024183;66;-1;0.000000;1
141;1527566041.212321;3693;-1;7.000000;0
143;1527566041.215999;609;1;1.000000;0
144;1527566041.455020;66;-1;0.000000;1
145;1527566041.455292;609;1;1.000000;0
146;1527566041.627326;609;-1;1.000000;0
147;1527566041.667167;66;1;0.000000;1
148;1527566041.694233;66;-1;0.000000;1
150;1527566041.886859;5618;-1;10.000000;0
152;1527566041.895526;1454;-1;2.000000;0
154;1527566041.913013;2842;-1;5.000000;0
156;1527566041.930408;1454;-1;2.000000;0
157;1527566041.930422;929;-1;1.000000;0
160;1527566042.021638;609;1;1.000000;0
161;1527566042.050129;4230;-1;8.000000;0
162;1527566042.050439;66;1;0.000000;1
164;1527566042.058895;2842;-1;5.000000;0
166;1527566042.076316;1454;-1;2.000000;0
167;1527566042.076357;2842;-1;5.000000;0
170;1527566042.093758;1454;-1;2.000000;0
172;1527566042.111193;1454;-1;2.000000;0
174;1527566042.126170;2842;-1;5.000000;0
176;1527566042.134878;2842;-1;5.000000;0
178;1527566042.152303;1454;-1;2.000000;0
180;1527566042.169805;2842;-1;5.000000;0
182;1527566042.187186;4230;-1;8.000000;0
184;1527566042.260712;66;-1;0.000000;1
185;1527566042.261022;1152;1;2.000000;0
186;1527566042.289431;5618;-1;10.000000;0
187;1527566042.289672;66;1;0.000000;1
189;1527566042.298153;2842;-1;5.000000;0
191;1527566042.315591;2842;-1;5.000000;0
193;1527566042.333020;2842;-1;5.000000;0
195;1527566042.350452;2842;-1;5.000000;0
197;1527566042.367879;2842;-1;5.000000;0
199;1527566042.378140;2842;-1;5.000000;0
201;1527566042.387668;2842;-1;5.000000;0
203;1527566042.397161;2842;-1;5.000000;0
205;1527566042.406698;2842;-1;5.000000;0
207;1527566042.416154;2842;-1;5.000000;0
209;1527566042.425705;2842;-1;5.000000;0
211;1527566042.426096;1454;1;2.000000;0
212;1527566042.435211;2842;-1;5.000000;0
213;1527566042.435336;66;1;0.000000;1
214;1527566042.444599;2842;-1;5.000000;0
216;1527566042.453924;2842;-1;5.000000;0
218;1527566042.463272;2842;-1;5.000000;0
220;1527566042.472617;2842;-1;5.000000;0
222;1527566042.481981;2842;-1;5.000000;0
224;1527566042.491359;2842;-1;5.000000;0
226;1527566042.528642;2842;-1;5.000000;0
227;1527566042.528966;307;1;0.000000;0
228;1527566042.532800;2842;-1;5.000000;0
229;1527566042.533099;66;1;0.000000;1
230;1527566042.540709;2842;-1;5.000000;0
232;1527566042.548560;2842;-1;5.000000;0
234;1527566042.556517;2842;-1;5.000000;0
236;1527566042.564281;2842;-1;5.000000;0
237;1527566042.564310;2842;-1;5.000000;0
240;1527566042.572150;2842;-1;5.000000;0
242;1527566042.579979;2842;-1;5.000000;0
244;1527566042.587825;2842;-1;5.000000;0
246;1527566042.595595;2842;-1;5.000000;0
248;1527566042.603554;2842;-1;5.000000;0
250;1527566042.611406;2842;-1;5.000000;0
252;1527566042.611830;1454;1;2.000000;0
253;1527566042.619262;2842;-1;5.000000;0
254;1527566042.619532;66;1;0.000000;1
255;1527566042.626967;2842;-1;5.000000;0
257;1527566042.634284;2842;-1;5.000000;0
259;1527566042.641597;2842;-1;5.000000;0
261;1527566042.648930;2842;-1;5.000000;0
263;1527566042.655987;2842;-1;5.000000;0
265;1527566042.662630;2842;-1;5.000000;0
267;1527566042.669280;2842;-1;5.000000;0
269;1527566042.675695;2842;-1;5.000000;0
271;1527566042.681949;2842;-1;5.000000;0
273;1527566042.688159;2842;-1;5.000000;0
275;1527566042.694232;2842;-1;5.000000;0
277;1527566042.700291;2842;-1;5.000000;0
279;1527566042.706360;2842;-1;5.000000;0
281;1527566042.712284;2842;-1;5.000000;0
283;1527566042.718092;2842;-1;5.000000;0
285;1527566042.723829;2842;-1;5.000000;0
287;1527566042.729531;2842;-1;5.000000;0
289;1527566042.729972;1454;1;2.000000;0
290;1527566042.735131;2842;-1;5.000000;0
291;1527566042.735160;2842;-1;5.000000;0
292;1527566042.735366;66;1;0.000000;1
294;1527566042.740675;2842;-1;5.000000;0
296;1527566042.746225;2842;-1;5.000000;0
298;1527566042.751773;2842;-1;5.000000;0
300;1527566042.757330;2842;-1;5.000000;0
