packet_index;timestamp;length;direction;num_cells;ack
0;1527539659.942098;66;1;0.000000;1
1;1527539659.949682;202;1;0.000000;0
5;1527539662.666120;74;1;0.000000;0
6;1527539662.905407;74;-1;0.000000;1
7;1527539662.905675;66;1;0.000000;1
8;1527539662.905965;250;1;0.000000;0
10;1527539663.835964;54;-1;0.000000;1
12;1527539664.666536;74;1;0.000000;0
14;1527539664.906090;74;-1;0.000000;1
15;1527539664.906372;66;1;0.000000;1
16;1527539664.906426;252;1;0.000000;0
18;1527539665.666277;74;1;0.000000;0
19;1527539665.839333;66;-1;0.000000;1
20;1527539665.839625;54;1;0.000000;1
21;1527539665.839667;241;1;0.000000;0
25;1527539666.474083;1064;-1;1.000000;0
26;1527539666.474107;66;-1;0.000000;1
27;1527539666.474307;54;1;0.000000;1
28;1527539666.475712;180;1;0.000000;0
29;1527539666.478238;78;-1;0.000000;1
30;1527539666.583179;1061;-1;1.000000;0
31;1527539666.583469;66;1;0.000000;1
32;1527539666.584528;192;1;0.000000;0
34;1527539666.648399;105;-1;0.000000;0
35;1527539666.648862;94;1;0.000000;0
36;1527539666.822405;2129;-1;4.000000;0
37;1527539666.822728;54;1;0.000000;1
39;1527539666.823805;1625;1;3.000000;0
40;1527539666.824004;117;-1;0.000000;0
41;1527539666.824498;106;1;0.000000;0
42;1527539666.996954;54;-1;0.000000;1
43;1527539667.002307;1111;-1;2.000000;0
44;1527539667.003643;1111;1;2.000000;0
45;1527539667.064681;2105;-1;3.000000;0
46;1527539667.065003;66;1;0.000000;1
47;1527539667.066012;1123;1;2.000000;0
48;1527539667.215597;54;-1;0.000000;1
49;1527539667.301138;597;-1;1.000000;0
50;1527539667.301979;597;1;1.000000;0
51;1527539667.315803;609;-1;1.000000;0
52;1527539667.316563;609;1;1.000000;0
54;1527539667.474883;597;-1;1.000000;0
55;1527539667.475617;597;1;1.000000;0
56;1527539667.595949;66;-1;0.000000;1
57;1527539667.687615;54;-1;0.000000;1
58;1527539667.687894;597;1;1.000000;0
59;1527539667.735398;609;-1;1.000000;0
60;1527539667.736297;609;1;1.000000;0
61;1527539667.858102;1111;-1;2.000000;0
62;1527539667.860576;54;-1;0.000000;1
63;1527539667.898421;54;1;0.000000;1
64;1527539667.975097;66;-1;0.000000;1
65;1527539668.070834;597;-1;1.000000;0
67;1527539668.071792;597;1;1.000000;0
68;1527539668.183610;609;-1;1.000000;0
70;1527539668.223401;66;1;0.000000;1
71;1527539668.244574;54;-1;0.000000;1
72;1527539668.410721;597;-1;1.000000;0
73;1527539668.411354;597;1;1.000000;0
74;1527539668.583622;54;-1;0.000000;1
75;1527539668.665239;609;1;1.000000;0
76;1527539668.785381;597;-1;1.000000;0
77;1527539668.825424;54;1;0.000000;1
78;1527539668.904085;66;-1;0.000000;1
79;1527539668.907167;609;-1;1.000000;0
80;1527539668.907400;66;1;0.000000;1
81;1527539668.907892;609;1;1.000000;0
82;1527539669.189259;66;-1;0.000000;1
83;1527539669.189536;1152;1;2.000000;0
84;1527539669.337462;609;-1;1.000000;0
85;1527539669.377428;66;1;0.000000;1
86;1527539669.428395;66;-1;0.000000;1
87;1527539669.428661;609;1;1.000000;0
88;1527539669.507732;597;1;1.000000;0
90;1527539669.667844;609;1;1.000000;0
91;1527539669.680459;54;-1;0.000000;1
92;1527539669.680723;597;1;1.000000;0
93;1527539669.744104;609;-1;1.000000;0
94;1527539669.744416;66;1;0.000000;1
96;1527539669.854934;4230;-1;8.000000;0
98;1527539669.906846;66;-1;0.000000;1
99;1527539669.917218;1454;-1;2.000000;0
101;1527539669.922662;609;1;1.000000;0
102;1527539669.926749;597;-1;1.000000;0
103;1527539669.927022;54;1;0.000000;1
104;1527539669.983355;284;-1;0.000000;0
105;1527539670.023489;66;1;0.000000;1
106;1527539670.105458;3681;-1;7.000000;0
108;1527539670.109674;597;1;1.000000;0
109;1527539670.202619;66;-1;0.000000;1
110;1527539670.202925;1152;1;2.000000;0
112;1527539670.282232;54;-1;0.000000;1
113;1527539670.282514;1111;1;2.000000;0
116;1527539670.466166;609;-1;1.000000;0
117;1527539670.466341;66;1;0.000000;1
118;1527539670.578837;597;-1;1.000000;0
119;1527539670.618483;54;1;0.000000;1
120;1527539670.667782;609;1;1.000000;0
121;1527539670.705388;609;-1;1.000000;0
122;1527539670.705689;66;1;0.000000;1
123;1527539670.790913;597;-1;1.000000;0
125;1527539670.908996;1454;-1;2.000000;0
126;1527539670.909316;609;1;1.000000;0
127;1527539670.944490;278;-1;0.000000;0
128;1527539670.963730;1111;-1;2.000000;0
130;1527539670.967064;597;1;1.000000;0
131;1527539671.000505;66;1;0.000000;1
132;1527539671.139541;54;-1;0.000000;1
133;1527539671.189310;66;-1;0.000000;1
134;1527539671.189497;609;1;1.000000;0
135;1527539671.353967;609;-1;1.000000;0
136;1527539671.354246;66;1;0.000000;1
137;1527539671.399876;597;-1;1.000000;0
138;1527539671.428399;66;-1;0.000000;1
139;1527539671.439497;54;1;0.000000;1
140;1527539671.459690;597;1;1.000000;0
141;1527539671.632169;54;-1;0.000000;1
142;1527539671.632348;597;1;1.000000;0
144;1527539671.867287;597;-1;1.000000;0
145;1527539671.867513;54;1;0.000000;1
146;1527539672.064471;3681;-1;7.000000;0
148;1527539672.068624;597;1;1.000000;0
150;1527539672.240978;54;-1;0.000000;1
151;1527539672.241284;597;1;1.000000;0
153;1527539672.492755;597;-1;1.000000;0
154;1527539672.532532;54;1;0.000000;1
155;1527539672.668309;609;1;1.000000;0
156;1527539672.719862;3681;-1;7.000000;0
159;1527539672.820652;597;1;1.000000;0
160;1527539672.890687;2974;-1;5.000000;0
161;1527539672.890913;54;1;0.000000;1
162;1527539672.892682;1304;-1;2.000000;0
164;1527539672.901567;1514;-1;2.000000;0
165;1527539672.901623;1514;-1;2.000000;0
169;1527539672.915905;609;-1;1.000000;0
170;1527539672.916186;66;1;0.000000;1
171;1527539672.916475;609;1;1.000000;0
172;1527539672.993088;54;-1;0.000000;1
173;1527539672.993350;597;1;1.000000;0
174;1527539673.065117;247;-1;0.000000;0
175;1527539673.065291;54;1;0.000000;1
176;1527539673.079762;5894;-1;11.000000;0
177;1527539673.079814;1514;-1;2.000000;0
180;1527539673.166312;54;-1;0.000000;1
181;1527539673.196096;66;-1;0.000000;1
182;1527539673.237678;1065;-1;1.000000;0
184;1527539673.282615;609;-1;1.000000;0
185;1527539673.283305;609;1;1.000000;0
186;1527539673.284273;4434;-1;8.000000;0
187;1527539673.284365;1514;-1;2.000000;0
190;1527539673.292933;597;1;1.000000;0
191;1527539673.410452;1468;-1;2.000000;0
192;1527539673.450567;54;1;0.000000;1
193;1527539673.465275;54;-1;0.000000;1
194;1527539673.473070;5894;-1;11.000000;0
197;1527539673.522127;66;-1;0.000000;1
198;1527539673.623114;954;-1;1.000000;0
200;1527539673.655872;597;1;1.000000;0
201;1527539673.671009;2974;-1;5.000000;0
202;1527539673.671080;1514;-1;2.000000;0
203;1527539673.671216;54;1;0.000000;1
204;1527539673.671493;1514;-1;2.000000;0
206;1527539673.746253;609;-1;1.000000;0
207;1527539673.785565;66;1;0.000000;1
208;1527539673.796148;1497;-1;2.000000;0
210;1527539673.859728;5894;-1;11.000000;0
211;1527539673.859851;1514;-1;2.000000;0
212;1527539673.859911;1514;-1;2.000000;0
213;1527539673.859971;597;1;1.000000;0
214;1527539673.860002;54;1;0.000000;1
215;1527539674.007942;2974;-1;5.000000;0
217;1527539674.032380;1340;-1;2.000000;0
218;1527539674.032583;1140;1;2.000000;0
219;1527539674.049297;2974;-1;5.000000;0
220;1527539674.049491;54;1;0.000000;1
221;1527539674.060027;2974;-1;5.000000;0
223;1527539674.180635;2974;-1;5.000000;0
225;1527539674.205036;1147;-1;2.000000;0
227;1527539674.245845;4434;-1;8.000000;0
229;1527539674.257158;2974;-1;5.000000;0
231;1527539674.353495;2974;-1;5.000000;0
233;1527539674.418506;230;-1;0.000000;0
234;1527539674.419021;597;1;1.000000;0
235;1527539674.455756;4434;-1;8.000000;0
236;1527539674.456079;54;1;0.000000;1
237;1527539674.465331;2974;-1;5.000000;0
239;1527539674.526245;1514;-1;2.000000;0
240;1527539674.545198;2974;-1;5.000000;0
242;1527539674.591481;1369;-1;2.000000;0
244;1527539674.660765;4434;-1;8.000000;0
246;1527539674.671666;2974;-1;5.000000;0
248;1527539674.718065;1514;-1;2.000000;0
249;1527539674.739728;2974;-1;5.000000;0
251;1527539674.740211;597;1;1.000000;0
252;1527539674.805964;312;-1;0.000000;0
253;1527539674.847614;54;1;0.000000;1
254;1527539674.857630;4434;-1;8.000000;0
255;1527539674.857671;1514;-1;2.000000;0
256;1527539674.857738;1514;-1;2.000000;0
259;1527539674.912403;1514;-1;2.000000;0
260;1527539674.937298;2974;-1;5.000000;0
261;1527539674.937558;597;1;1.000000;0
262;1527539675.020433;2911;-1;5.000000;0
263;1527539675.020660;54;1;0.000000;1
264;1527539675.046685;2974;-1;5.000000;0
266;1527539675.055798;2974;-1;5.000000;0
268;1527539675.110723;2974;-1;5.000000;0
270;1527539675.175344;2974;-1;5.000000;0
272;1527539675.193637;1369;-1;2.000000;0
273;1527539675.194315;597;1;1.000000;0
274;1527539675.235441;5894;-1;11.000000;0
275;1527539675.235678;54;1;0.000000;1
277;1527539675.283902;2974;-1;5.000000;0
279;1527539675.347506;1514;-1;2.000000;0
280;1527539675.348039;2974;-1;5.000000;0
282;1527539675.406191;54;-1;0.000000;1
283;1527539675.406884;1514;-1;2.000000;0
284;1527539675.408460;5894;-1;11.000000;0
286;1527539675.409447;597;1;1.000000;0
287;1527539675.456551;2974;-1;5.000000;0
288;1527539675.456847;54;1;0.000000;1
289;1527539675.520720;2974;-1;5.000000;0
291;1527539675.544459;1514;-1;2.000000;0
292;1527539675.581235;2930;-1;5.000000;0
294;1527539675.582021;54;-1;0.000000;1
295;1527539675.582149;597;1;1.000000;0
296;1527539675.585015;2974;-1;5.000000;0
297;1527539675.585210;54;1;0.000000;1
298;1527539675.629389;2974;-1;5.000000;0
300;1527539675.693419;2974;-1;5.000000;0
302;1527539675.724878;1514;-1;2.000000;0
303;1527539675.754386;2974;-1;5.000000;0
305;1527539675.757758;2974;-1;5.000000;0
307;1527539675.774951;1514;-1;2.000000;0
308;1527539675.793388;1123;-1;2.000000;0
310;1527539675.802186;2974;-1;5.000000;0
312;1527539675.866376;2974;-1;5.000000;0
314;1527539675.867067;597;1;1.000000;0
315;1527539675.874195;1514;-1;2.000000;0
316;1527539675.913595;54;1;0.000000;1
317;1527539675.927573;2974;-1;5.000000;0
319;1527539675.930650;2974;-1;5.000000;0
321;1527539675.953771;1514;-1;2.000000;0
323;1527539675.974849;2974;-1;5.000000;0
325;1527539676.038979;2974;-1;5.000000;0
327;1527539676.061558;1514;-1;2.000000;0
329;1527539676.100106;2974;-1;5.000000;0
331;1527539676.100577;597;1;1.000000;0
332;1527539676.103427;2974;-1;5.000000;0
333;1527539676.103613;54;1;0.000000;1
334;1527539676.126517;2974;-1;5.000000;0
336;1527539676.131161;1514;-1;2.000000;0
337;1527539676.147599;2974;-1;5.000000;0
339;1527539676.211620;2974;-1;5.000000;0
341;1527539676.253094;1514;-1;2.000000;0
343;1527539676.272682;2974;-1;5.000000;0
345;1527539676.276984;2974;-1;5.000000;0
346;1527539676.277298;597;1;1.000000;0
347;1527539676.300370;2974;-1;5.000000;0
348;1527539676.300522;54;1;0.000000;1
349;1527539676.320480;2974;-1;5.000000;0
351;1527539676.324187;1514;-1;2.000000;0
353;1527539676.384456;2974;-1;5.000000;0
355;1527539676.445371;2974;-1;5.000000;0
357;1527539676.449730;2974;-1;5.000000;0
358;1527539676.450027;597;1;1.000000;0
359;1527539676.453392;1514;-1;2.000000;0
360;1527539676.473103;2974;-1;5.000000;0
361;1527539676.473421;54;1;0.000000;1
362;1527539676.493469;4143;-1;7.000000;0
364;1527539676.558004;2974;-1;5.000000;0
366;1527539676.594135;1514;-1;2.000000;0
367;1527539676.618308;2974;-1;5.000000;0
369;1527539676.622823;2974;-1;5.000000;0
371;1527539676.623269;597;1;1.000000;0
372;1527539676.645836;2974;-1;5.000000;0
373;1527539676.646022;54;1;0.000000;1
374;1527539676.668092;5894;-1;11.000000;0
376;1527539676.697333;2974;1;5.000000;0
377;1527539676.730722;2974;-1;5.000000;0
378;1527539676.731244;54;1;0.000000;1
379;1527539676.790934;2974;-1;5.000000;0
381;1527539676.795634;2974;-1;5.000000;0
383;1527539676.818599;2974;-1;5.000000;0
384;1527539676.818948;819;1;1.000000;0
385;1527539676.841606;2095;-1;3.000000;0
386;1527539676.841909;54;1;0.000000;1
387;1527539676.869640;54;-1;0.000000;1
388;1527539676.870428;1514;1;2.000000;0
391;1527539677.031215;1222;1;2.000000;0
394;1527539677.285557;597;-1;1.000000;0
395;1527539677.325658;54;1;0.000000;1
397;1527539677.374892;5894;-1;11.000000;0
400;1527539677.437242;4434;-1;8.000000;0
402;1527539677.456469;2974;-1;5.000000;0
404;1527539677.498138;1451;-1;2.000000;0
406;1527539677.547766;2974;-1;5.000000;0
408;1527539677.556379;4434;-1;8.000000;0
410;1527539677.609911;4434;-1;8.000000;0
413;1527539677.610458;597;1;1.000000;0
414;1527539677.629966;2974;-1;5.000000;0
415;1527539677.630105;54;1;0.000000;1
416;1527539677.639684;1514;-1;2.000000;0
418;1527539677.721057;2974;-1;5.000000;0
420;1527539677.728459;1514;-1;2.000000;0
422;1527539677.729050;2974;-1;5.000000;0
424;1527539677.738659;1514;-1;2.000000;0
426;1527539677.782766;5894;-1;11.000000;0
429;1527539677.783110;54;-1;0.000000;1
430;1527539677.783213;597;1;1.000000;0
431;1527539677.802639;2974;-1;5.000000;0
432;1527539677.802957;54;1;0.000000;1
433;1527539677.894902;2974;-1;5.000000;0
435;1527539677.901345;2974;-1;5.000000;0
436;1527539677.901642;2732;-1;5.000000;0
439;1527539677.927339;1514;-1;2.000000;0
440;1527539677.955761;5894;-1;11.000000;0
442;1527539677.967094;4434;1;8.000000;0
443;1527539677.975504;2974;-1;5.000000;0
444;1527539677.975734;387;1;0.000000;0
445;1527539677.986963;1514;-1;2.000000;0
446;1527539677.987223;54;1;0.000000;1
447;1527539678.067805;2974;-1;5.000000;0
449;1527539678.074981;5894;-1;11.000000;0
451;1527539678.128325;4434;-1;8.000000;0
452;1527539678.128359;1514;-1;2.000000;0
454;1527539678.139832;54;-1;0.000000;1
455;1527539678.148274;2974;-1;5.000000;0
456;1527539678.148521;1140;1;2.000000;0
457;1527539678.160373;2974;-1;5.000000;0
458;1527539678.160681;54;1;0.000000;1
459;1527539678.163647;1514;-1;2.000000;0
461;1527539678.241101;2974;-1;5.000000;0
463;1527539678.247711;5894;-1;11.000000;0
467;1527539678.301826;2974;-1;5.000000;0
469;1527539678.304317;1514;-1;2.000000;0
471;1527539678.321579;2974;-1;5.000000;0
472;1527539678.321901;597;1;1.000000;0
473;1527539678.323798;1514;-1;2.000000;0
474;1527539678.333967;2974;-1;5.000000;0
475;1527539678.334284;54;1;0.000000;1
476;1527539678.383106;1514;-1;2.000000;0
477;1527539678.413644;2974;-1;5.000000;0
479;1527539678.420376;5894;-1;11.000000;0
481;1527539678.431613;1514;-1;2.000000;0
483;1527539678.474575;2974;-1;5.000000;0
485;1527539678.481435;1514;-1;2.000000;0
487;1527539678.494574;2974;-1;5.000000;0
489;1527539678.495108;597;1;1.000000;0
490;1527539678.506672;2974;-1;5.000000;0
491;1527539678.506900;54;1;0.000000;1
492;1527539678.512474;1514;-1;2.000000;0
494;1527539678.587339;2974;-1;5.000000;0
496;1527539678.593367;5894;-1;11.000000;0
499;1527539678.603829;1514;-1;2.000000;0
501;1527539678.647704;2974;-1;5.000000;0
503;1527539678.654373;1514;-1;2.000000;0
505;1527539678.664089;1514;-1;2.000000;0
507;1527539678.667977;2974;-1;5.000000;0
509;1527539678.679513;2974;-1;5.000000;0
510;1527539678.679716;1140;1;2.000000;0
511;1527539678.725767;2974;-1;5.000000;0
512;1527539678.726084;54;1;0.000000;1
513;1527539678.760233;2974;-1;5.000000;0
515;1527539678.766908;5894;-1;11.000000;0
517;1527539678.783615;1514;-1;2.000000;0
519;1527539678.820974;2974;-1;5.000000;0
521;1527539678.834071;1514;-1;2.000000;0
522;1527539678.841091;2974;-1;5.000000;0
524;1527539678.844706;1514;-1;2.000000;0
525;1527539678.852260;2974;-1;5.000000;0
527;1527539678.852639;597;1;1.000000;0
528;1527539678.898598;2974;-1;5.000000;0
529;1527539678.898788;54;1;0.000000;1
530;1527539678.933031;2974;-1;5.000000;0
532;1527539678.939645;2974;-1;5.000000;0
534;1527539678.943138;1514;-1;2.000000;0
