packet_index;timestamp;length;direction;num_cells;ack
0;1527557942.289689;202;1;0.000000;0
1;1527557942.289859;66;1;0.000000;1
5;1527557945.075535;74;1;0.000000;0
6;1527557945.315242;74;-1;0.000000;1
7;1527557945.315528;66;1;0.000000;1
8;1527557945.315986;252;1;0.000000;0
10;1527557946.116628;78;-1;0.000000;1
11;1527557946.256533;1072;-1;1.000000;0
12;1527557946.256815;66;1;0.000000;1
13;1527557946.258184;192;1;0.000000;0
16;1527557946.499218;117;-1;0.000000;0
17;1527557946.499638;106;1;0.000000;0
18;1527557946.739988;2129;-1;4.000000;0
19;1527557946.740220;66;1;0.000000;1
20;1527557946.741482;1637;1;3.000000;0
21;1527557946.981434;66;-1;0.000000;1
22;1527557946.989045;1123;-1;2.000000;0
23;1527557946.990387;1123;1;2.000000;0
24;1527557947.272037;66;-1;0.000000;1
25;1527557947.272320;609;1;1.000000;0
26;1527557947.324537;609;-1;1.000000;0
27;1527557947.364618;66;1;0.000000;1
28;1527557947.511264;66;-1;0.000000;1
29;1527557947.511530;609;1;1.000000;0
30;1527557947.603609;1152;-1;2.000000;0
31;1527557947.603830;66;1;0.000000;1
32;1527557947.750453;66;-1;0.000000;1
33;1527557947.750784;1152;1;2.000000;0
34;1527557947.930305;609;-1;1.000000;0
35;1527557947.930517;66;1;0.000000;1
36;1527557947.989838;66;-1;0.000000;1
37;1527557948.077775;609;1;1.000000;0
38;1527557948.169602;1152;-1;2.000000;0
39;1527557948.169821;66;1;0.000000;1
40;1527557948.316714;66;-1;0.000000;1
41;1527557948.316888;609;1;1.000000;0
43;1527557948.408779;609;-1;1.000000;0
44;1527557948.409064;66;1;0.000000;1
46;1527557948.555815;66;-1;0.000000;1
47;1527557948.556082;609;1;1.000000;0
48;1527557948.693038;609;-1;1.000000;0
49;1527557948.693300;66;1;0.000000;1
50;1527557948.795105;66;-1;0.000000;1
51;1527557948.932267;609;-1;1.000000;0
53;1527557948.932936;609;1;1.000000;0
54;1527557949.075607;1454;1;2.000000;0
55;1527557949.171829;66;-1;0.000000;1
56;1527557949.172103;307;1;0.000000;0
58;1527557949.407809;609;-1;1.000000;0
59;1527557949.411041;66;-1;0.000000;1
60;1527557949.447682;66;1;0.000000;1
61;1527557949.483316;4230;-1;8.000000;0
64;1527557949.483991;609;1;1.000000;0
65;1527557949.546886;1454;-1;2.000000;0
66;1527557949.586686;66;1;0.000000;1
67;1527557949.686705;284;-1;0.000000;0
69;1527557949.691556;1454;1;2.000000;0
70;1527557949.722894;66;-1;0.000000;1
71;1527557949.723202;850;1;1.000000;0
76;1527557950.059767;609;-1;1.000000;0
77;1527557950.077681;609;1;1.000000;0
78;1527557950.115882;1454;-1;2.000000;0
79;1527557950.155700;66;1;0.000000;1
80;1527557950.188567;2842;-1;5.000000;0
83;1527557950.316672;1100;-1;2.000000;0
85;1527557950.320572;609;1;1.000000;0
87;1527557950.556008;609;-1;1.000000;0
88;1527557950.556735;1454;1;2.000000;0
89;1527557950.602111;66;-1;0.000000;1
90;1527557950.602438;278;1;0.000000;0
92;1527557950.795842;609;-1;1.000000;0
93;1527557950.835726;66;1;0.000000;1
94;1527557950.882158;66;-1;0.000000;1
95;1527557951.019957;1454;-1;2.000000;0
97;1527557951.020796;609;1;1.000000;0
98;1527557951.074678;821;-1;1.000000;0
99;1527557951.114757;66;1;0.000000;1
100;1527557951.259745;66;-1;0.000000;1
101;1527557951.260013;1152;1;2.000000;0
102;1527557951.404958;609;-1;1.000000;0
103;1527557951.405309;66;1;0.000000;1
104;1527557951.498955;66;-1;0.000000;1
105;1527557951.644350;609;-1;1.000000;0
107;1527557951.645165;609;1;1.000000;0
109;1527557951.883693;609;-1;1.000000;0
110;1527557951.884105;66;-1;0.000000;1
111;1527557951.910352;609;1;1.000000;0
112;1527557952.149316;609;-1;1.000000;0
113;1527557952.149662;1152;1;2.000000;0
114;1527557952.388664;609;-1;1.000000;0
115;1527557952.388981;609;1;1.000000;0
117;1527557952.627983;609;-1;1.000000;0
118;1527557952.628807;609;1;1.000000;0
119;1527557952.689957;2842;-1;5.000000;0
120;1527557952.690281;66;1;0.000000;1
121;1527557952.766078;1454;-1;2.000000;0
123;1527557952.867868;72;-1;0.000000;0
124;1527557952.868158;1152;1;2.000000;0
125;1527557953.107158;609;-1;1.000000;0
126;1527557953.107975;609;1;1.000000;0
127;1527557953.294982;4230;-1;8.000000;0
128;1527557953.295320;66;1;0.000000;1
129;1527557953.303780;4230;-1;8.000000;0
131;1527557953.321210;1454;-1;2.000000;0
132;1527557953.338629;2842;-1;5.000000;0
134;1527557953.356043;84;-1;0.000000;0
136;1527557953.477435;4230;-1;8.000000;0
139;1527557953.486239;2842;-1;5.000000;0
141;1527557953.491273;1123;1;2.000000;0
142;1527557953.503723;1454;-1;2.000000;0
143;1527557953.503759;2842;-1;5.000000;0
144;1527557953.504055;66;1;0.000000;1
145;1527557953.521108;1454;-1;2.000000;0
146;1527557953.538510;1454;-1;2.000000;0
147;1527557953.538544;2842;-1;5.000000;0
150;1527557953.556015;1454;-1;2.000000;0
151;1527557953.579501;2842;-1;5.000000;0
153;1527557953.590955;4230;-1;8.000000;0
155;1527557953.608391;1454;-1;2.000000;0
156;1527557953.625818;2842;-1;5.000000;0
158;1527557953.643287;1454;-1;2.000000;0
159;1527557953.643322;2842;-1;5.000000;0
161;1527557953.716683;5618;-1;10.000000;0
163;1527557953.725425;2842;-1;5.000000;0
165;1527557953.727081;1454;1;2.000000;0
166;1527557953.742867;2842;-1;5.000000;0
167;1527557953.743183;66;1;0.000000;1
168;1527557953.760302;2842;-1;5.000000;0
170;1527557953.776361;2842;-1;5.000000;0
171;1527557953.776590;307;1;0.000000;0
172;1527557953.792387;2842;-1;5.000000;0
173;1527557953.792616;66;1;0.000000;1
174;1527557953.801753;2842;-1;5.000000;0
176;1527557953.811058;2842;-1;5.000000;0
178;1527557953.820396;2842;-1;5.000000;0
180;1527557953.829785;2842;-1;5.000000;0
182;1527557953.839098;2842;-1;5.000000;0
184;1527557953.848414;2842;-1;5.000000;0
186;1527557953.857786;2842;-1;5.000000;0
188;1527557953.867112;2842;-1;5.000000;0
190;1527557953.876448;2842;-1;5.000000;0
