packet_index;timestamp;length;direction;num_cells;ack
0;1527569435.620577;66;1;0.000000;1
1;1527569435.621429;202;1;0.000000;0
8;1527569438.368470;74;1;0.000000;0
9;1527569438.608660;74;-1;0.000000;1
10;1527569438.608933;66;1;0.000000;1
11;1527569438.609194;264;1;0.000000;0
13;1527569439.556214;1070;-1;1.000000;0
14;1527569439.556522;66;1;0.000000;1
15;1527569439.557882;192;1;0.000000;0
16;1527569439.798281;117;-1;0.000000;0
17;1527569439.798761;106;1;0.000000;0
18;1527569440.039609;2115;-1;4.000000;0
19;1527569440.039955;66;1;0.000000;1
20;1527569440.041118;1637;1;3.000000;0
22;1527569440.280958;66;-1;0.000000;1
23;1527569440.283552;1123;-1;2.000000;0
24;1527569440.284796;1123;1;2.000000;0
25;1527569440.565574;66;-1;0.000000;1
26;1527569440.565829;609;1;1.000000;0
27;1527569440.623549;609;-1;1.000000;0
28;1527569440.663803;66;1;0.000000;1
29;1527569440.805252;66;-1;0.000000;1
30;1527569440.805536;609;1;1.000000;0
31;1527569440.903411;1152;-1;2.000000;0
32;1527569440.903633;66;1;0.000000;1
33;1527569441.044962;66;-1;0.000000;1
34;1527569441.045281;1152;1;2.000000;0
35;1527569441.184155;609;-1;1.000000;0
36;1527569441.184463;66;1;0.000000;1
37;1527569441.284779;66;-1;0.000000;1
38;1527569441.368909;609;1;1.000000;0
39;1527569441.424040;609;-1;1.000000;0
40;1527569441.424348;66;1;0.000000;1
41;1527569441.608324;66;-1;0.000000;1
42;1527569441.608506;609;1;1.000000;0
43;1527569441.663770;1152;-1;2.000000;0
44;1527569441.664055;66;1;0.000000;1
45;1527569441.847922;66;-1;0.000000;1
46;1527569441.848051;609;1;1.000000;0
47;1527569442.023333;609;-1;1.000000;0
48;1527569442.023467;66;1;0.000000;1
49;1527569442.087555;66;-1;0.000000;1
51;1527569442.262868;609;-1;1.000000;0
53;1527569442.263459;609;1;1.000000;0
54;1527569442.368321;1454;1;2.000000;0
55;1527569442.502822;66;-1;0.000000;1
56;1527569442.502936;307;1;0.000000;0
59;1527569442.745330;609;-1;1.000000;0
60;1527569442.745994;609;1;1.000000;0
61;1527569442.819683;1454;-1;2.000000;0
62;1527569442.830457;2842;-1;5.000000;0
63;1527569442.830644;66;1;0.000000;1
64;1527569442.847895;1454;-1;2.000000;0
66;1527569442.985415;313;-1;0.000000;0
67;1527569442.985718;1152;1;2.000000;0
68;1527569443.225187;609;-1;1.000000;0
69;1527569443.225418;1152;1;2.000000;0
70;1527569443.494385;609;-1;1.000000;0
71;1527569443.494721;1152;1;2.000000;0
72;1527569443.696646;2842;-1;5.000000;0
73;1527569443.696689;1454;-1;2.000000;0
74;1527569443.696852;66;1;0.000000;1
75;1527569443.734270;1158;-1;2.000000;0
76;1527569443.737878;609;1;1.000000;0
77;1527569443.977338;1152;-1;2.000000;0
78;1527569443.977657;1152;1;2.000000;0
79;1527569444.234378;609;-1;1.000000;0
80;1527569444.234695;609;1;1.000000;0
82;1527569444.474131;609;-1;1.000000;0
83;1527569444.474438;609;1;1.000000;0
84;1527569444.612000;1454;-1;2.000000;0
85;1527569444.651904;66;1;0.000000;1
86;1527569444.714040;278;-1;0.000000;0
87;1527569444.714359;609;1;1.000000;0
88;1527569444.953845;609;-1;1.000000;0
89;1527569444.954159;609;1;1.000000;0
90;1527569445.193773;609;-1;1.000000;0
91;1527569445.194093;609;1;1.000000;0
92;1527569445.466736;609;-1;1.000000;0
93;1527569445.491905;609;1;1.000000;0
94;1527569445.731473;609;-1;1.000000;0
95;1527569445.731829;609;1;1.000000;0
96;1527569446.003194;609;-1;1.000000;0
97;1527569446.003478;609;1;1.000000;0
98;1527569446.245338;609;-1;1.000000;0
100;1527569446.284968;66;1;0.000000;1
101;1527569446.368369;609;1;1.000000;0
102;1527569446.380133;2842;-1;5.000000;0
103;1527569446.380457;66;1;0.000000;1
104;1527569446.524358;946;-1;1.000000;0
107;1527569446.648952;66;-1;0.000000;1
108;1527569446.649249;1152;1;2.000000;0
109;1527569446.764088;609;-1;1.000000;0
110;1527569446.764433;66;1;0.000000;1
111;1527569446.888672;66;-1;0.000000;1
112;1527569446.888976;609;1;1.000000;0
114;1527569447.170785;1123;-1;2.000000;0
115;1527569447.171125;66;1;0.000000;1
116;1527569447.171673;609;1;1.000000;0
117;1527569447.233667;4230;-1;8.000000;0
118;1527569447.233893;66;1;0.000000;1
119;1527569447.242463;1454;-1;2.000000;0
120;1527569447.277898;2842;-1;5.000000;0
122;1527569447.306803;2842;-1;5.000000;0
124;1527569447.366279;1454;1;2.000000;0
125;1527569447.369012;1454;-1;2.000000;0
126;1527569447.408999;66;1;0.000000;1
127;1527569447.410522;84;-1;0.000000;0
129;1527569447.410941;66;-1;0.000000;1
130;1527569447.411077;307;1;0.000000;0
131;1527569447.489668;4230;-1;8.000000;0
132;1527569447.489891;66;1;0.000000;1
133;1527569447.498367;2842;-1;5.000000;0
135;1527569447.515856;1454;-1;2.000000;0
136;1527569447.515870;1454;-1;2.000000;0
138;1527569447.533307;2842;-1;5.000000;0
140;1527569447.573807;2842;-1;5.000000;0
142;1527569447.593274;2842;-1;5.000000;0
144;1527569447.607510;66;-1;0.000000;1
145;1527569447.628223;2842;-1;5.000000;0
147;1527569447.636954;4230;-1;8.000000;0
149;1527569447.654439;2842;-1;5.000000;0
151;1527569447.671893;2842;-1;5.000000;0
153;1527569447.673587;1454;1;2.000000;0
154;1527569447.689345;1454;-1;2.000000;0
155;1527569447.689650;307;1;0.000000;0
156;1527569447.706825;2842;-1;5.000000;0
157;1527569447.707050;66;1;0.000000;1
158;1527569447.729345;5618;-1;10.000000;0
160;1527569447.741709;2842;-1;5.000000;0
162;1527569447.757802;2842;-1;5.000000;0
164;1527569447.772504;2842;-1;5.000000;0
166;1527569447.787197;2842;-1;5.000000;0
168;1527569447.800814;2842;-1;5.000000;0
170;1527569447.814549;2842;-1;5.000000;0
172;1527569447.828140;2842;-1;5.000000;0
174;1527569447.841794;2842;-1;5.000000;0
176;1527569447.855465;2842;-1;5.000000;0
178;1527569447.855927;1454;1;2.000000;0
179;1527569447.869104;2842;-1;5.000000;0
180;1527569447.869330;66;1;0.000000;1
181;1527569447.882785;2842;-1;5.000000;0
183;1527569447.895439;2842;-1;5.000000;0
185;1527569447.906957;2842;-1;5.000000;0
187;1527569447.918468;2842;-1;5.000000;0
189;1527569447.929510;2842;-1;5.000000;0
191;1527569447.938368;2842;-1;5.000000;0
193;1527569447.947193;2842;-1;5.000000;0
194;1527569447.947519;307;1;0.000000;0
195;1527569447.955813;2842;-1;5.000000;0
196;1527569447.956021;66;1;0.000000;1
197;1527569447.964447;2842;-1;5.000000;0
199;1527569447.973091;2842;-1;5.000000;0
201;1527569447.979848;2842;-1;5.000000;0
203;1527569447.986536;2842;-1;5.000000;0
205;1527569447.993095;2842;-1;5.000000;0
207;1527569447.999663;2842;-1;5.000000;0
208;1527569447.999692;2842;-1;5.000000;0
211;1527569448.006227;2842;-1;5.000000;0
213;1527569448.012771;2842;-1;5.000000;0
215;1527569448.013426;1454;1;2.000000;0
216;1527569448.019334;2842;-1;5.000000;0
217;1527569448.019568;66;1;0.000000;1
218;1527569448.025863;2842;-1;5.000000;0
220;1527569448.032437;2842;-1;5.000000;0
222;1527569448.039009;2842;-1;5.000000;0
224;1527569448.045539;2842;-1;5.000000;0
226;1527569448.052043;2842;-1;5.000000;0
228;1527569448.058556;2842;-1;5.000000;0
230;1527569448.064930;2842;-1;5.000000;0
232;1527569448.071344;2842;-1;5.000000;0
234;1527569448.077682;2842;-1;5.000000;0
236;1527569448.083984;2842;-1;5.000000;0
238;1527569448.089748;2842;-1;5.000000;0
240;1527569448.095489;2842;-1;5.000000;0
242;1527569448.101140;2842;-1;5.000000;0
244;1527569448.106855;2842;-1;5.000000;0
246;1527569448.112578;2842;-1;5.000000;0
