packet_index;timestamp;length;direction;num_cells;ack
0;1527570280.681693;202;1;0.000000;0
1;1527570280.681865;66;1;0.000000;1
3;1527570282.949679;74;1;0.000000;0
4;1527570283.302658;74;-1;0.000000;1
5;1527570283.302929;66;1;0.000000;1
6;1527570283.303218;262;1;0.000000;0
7;1527570283.416972;74;1;0.000000;0
8;1527570283.657154;74;-1;0.000000;1
9;1527570283.657432;66;1;0.000000;1
10;1527570283.657447;262;1;0.000000;0
14;1527570284.386992;78;-1;0.000000;1
15;1527570284.458246;78;-1;0.000000;1
16;1527570284.592883;1070;-1;1.000000;0
17;1527570284.593005;66;1;0.000000;1
18;1527570284.593801;192;1;0.000000;0
19;1527570284.728988;1082;-1;1.000000;0
20;1527570284.729209;66;1;0.000000;1
21;1527570284.730327;192;1;0.000000;0
23;1527570284.834033;117;-1;0.000000;0
24;1527570284.834478;106;1;0.000000;0
25;1527570285.075008;2125;-1;4.000000;0
26;1527570285.075334;66;1;0.000000;1
27;1527570285.076537;1637;1;3.000000;0
29;1527570285.083194;117;-1;0.000000;0
30;1527570285.083598;106;1;0.000000;0
31;1527570285.316403;66;-1;0.000000;1
32;1527570285.324504;1123;-1;2.000000;0
33;1527570285.325765;1123;1;2.000000;0
34;1527570285.437358;2143;-1;4.000000;0
35;1527570285.437708;66;1;0.000000;1
36;1527570285.438542;1123;1;2.000000;0
37;1527570285.605671;66;-1;0.000000;1
38;1527570285.605956;609;1;1.000000;0
39;1527570285.667380;1123;-1;2.000000;0
40;1527570285.706847;66;1;0.000000;1
41;1527570285.795208;609;-1;1.000000;0
42;1527570285.796054;1637;1;3.000000;0
43;1527570285.845420;66;-1;0.000000;1
44;1527570285.845723;1123;1;2.000000;0
46;1527570285.946292;609;-1;1.000000;0
47;1527570285.946512;66;1;0.000000;1
48;1527570286.085321;66;-1;0.000000;1
49;1527570286.085540;609;1;1.000000;0
50;1527570286.148275;66;-1;0.000000;1
51;1527570286.152714;4143;-1;7.000000;0
52;1527570286.153033;66;1;0.000000;1
53;1527570286.224115;609;-1;1.000000;0
54;1527570286.224410;66;1;0.000000;1
55;1527570286.325044;66;-1;0.000000;1
56;1527570286.417772;609;1;1.000000;0
57;1527570286.463897;1152;-1;2.000000;0
58;1527570286.464117;66;1;0.000000;1
59;1527570286.505118;159;-1;0.000000;0
61;1527570286.657269;66;-1;0.000000;1
62;1527570286.657547;609;1;1.000000;0
63;1527570286.703637;609;-1;1.000000;0
64;1527570286.703771;66;1;0.000000;1
65;1527570286.896941;66;-1;0.000000;1
66;1527570286.897113;609;1;1.000000;0
68;1527570287.144322;609;-1;1.000000;0
69;1527570287.144435;66;1;0.000000;1
70;1527570287.184764;609;1;1.000000;0
71;1527570287.383868;609;-1;1.000000;0
72;1527570287.384168;66;1;0.000000;1
73;1527570287.394275;1454;1;2.000000;0
74;1527570287.465670;66;-1;0.000000;1
75;1527570287.465939;1364;1;2.000000;0
76;1527570287.623718;609;-1;1.000000;0
77;1527570287.633769;66;-1;0.000000;1
78;1527570287.663905;66;1;0.000000;1
80;1527570287.797943;4230;-1;8.000000;0
82;1527570287.798473;609;1;1.000000;0
83;1527570287.883986;1454;-1;2.000000;0
84;1527570287.903286;284;-1;0.000000;0
85;1527570287.903486;66;1;0.000000;1
86;1527570287.905547;2842;-1;5.000000;0
87;1527570287.905648;1454;1;2.000000;0
88;1527570287.905683;66;1;0.000000;1
90;1527570287.974015;1454;-1;2.000000;0
92;1527570288.037852;66;-1;0.000000;1
93;1527570288.038160;850;1;1.000000;0
94;1527570288.143079;1129;-1;2.000000;0
95;1527570288.143409;66;1;0.000000;1
96;1527570288.145110;66;-1;0.000000;1
97;1527570288.154205;1454;1;2.000000;0
99;1527570288.278021;278;1;0.000000;0
100;1527570288.374563;4230;-1;8.000000;0
101;1527570288.374908;66;1;0.000000;1
102;1527570288.383214;72;-1;0.000000;0
103;1527570288.393807;66;-1;0.000000;1
105;1527570288.429629;1454;1;2.000000;0
107;1527570288.517850;792;1;1.000000;0
108;1527570288.657462;1454;-1;2.000000;0
109;1527570288.657757;66;1;0.000000;1
110;1527570288.662501;1306;-1;2.000000;0
112;1527570288.669151;66;-1;0.000000;1
114;1527570288.902127;609;-1;1.000000;0
116;1527570288.902980;609;1;1.000000;0
117;1527570288.993818;1454;-1;2.000000;0
118;1527570289.033957;66;1;0.000000;1
119;1527570289.141913;821;-1;1.000000;0
121;1527570289.142291;66;-1;0.000000;1
122;1527570289.144988;609;1;1.000000;0
124;1527570289.381805;609;-1;1.000000;0
125;1527570289.384392;66;-1;0.000000;1
126;1527570289.384563;609;1;1.000000;0
127;1527570289.624041;609;-1;1.000000;0
128;1527570289.624397;609;1;1.000000;0
129;1527570289.866853;609;-1;1.000000;0
130;1527570289.867164;1152;1;2.000000;0
132;1527570290.106825;609;-1;1.000000;0
133;1527570290.107191;609;1;1.000000;0
134;1527570290.346669;609;-1;1.000000;0
135;1527570290.361140;2842;-1;5.000000;0
136;1527570290.361513;66;1;0.000000;1
137;1527570290.418104;609;1;1.000000;0
139;1527570290.496795;1454;-1;2.000000;0
140;1527570290.536992;66;1;0.000000;1
141;1527570290.601084;72;-1;0.000000;0
143;1527570290.601910;1454;1;2.000000;0
144;1527570290.699120;66;-1;0.000000;1
145;1527570290.699426;307;1;0.000000;0
146;1527570290.840843;609;-1;1.000000;0
147;1527570290.841381;66;-1;0.000000;1
148;1527570290.881014;66;1;0.000000;1
150;1527570290.939059;609;1;1.000000;0
151;1527570291.016847;4230;-1;8.000000;0
152;1527570291.017202;66;1;0.000000;1
153;1527570291.037792;2842;-1;5.000000;0
155;1527570291.046537;1454;-1;2.000000;0
157;1527570291.057109;2842;-1;5.000000;0
159;1527570291.065849;1454;-1;2.000000;0
161;1527570291.120492;1141;-1;2.000000;0
163;1527570291.160371;2842;-1;5.000000;0
165;1527570291.169173;2842;-1;5.000000;0
167;1527570291.186663;1454;-1;2.000000;0
168;1527570291.186700;2842;-1;5.000000;0
169;1527570291.186706;66;-1;0.000000;1
172;1527570291.193674;1123;1;2.000000;0
173;1527570291.204106;1454;-1;2.000000;0
174;1527570291.221627;2842;-1;5.000000;0
175;1527570291.221853;66;1;0.000000;1
176;1527570291.239068;1454;-1;2.000000;0
177;1527570291.239104;2842;-1;5.000000;0
179;1527570291.256549;1454;-1;2.000000;0
180;1527570291.274059;2842;-1;5.000000;0
182;1527570291.291516;1454;-1;2.000000;0
183;1527570291.291552;2842;-1;5.000000;0
185;1527570291.309023;1454;-1;2.000000;0
186;1527570291.326504;2842;-1;5.000000;0
187;1527570291.326528;1454;-1;2.000000;0
189;1527570291.360225;2842;-1;5.000000;0
191;1527570291.400067;2842;-1;5.000000;0
193;1527570291.408821;2842;-1;5.000000;0
195;1527570291.409287;1454;1;2.000000;0
196;1527570291.426304;2842;-1;5.000000;0
197;1527570291.426633;66;1;0.000000;1
198;1527570291.442929;2842;-1;5.000000;0
200;1527570291.457033;2842;-1;5.000000;0
202;1527570291.471112;2842;-1;5.000000;0
203;1527570291.471338;307;1;0.000000;0
204;1527570291.483674;2842;-1;5.000000;0
205;1527570291.483937;66;1;0.000000;1
206;1527570291.495205;2842;-1;5.000000;0
208;1527570291.506728;2842;-1;5.000000;0
210;1527570291.518221;2842;-1;5.000000;0
212;1527570291.526373;2842;-1;5.000000;0
213;1527570291.526402;2842;-1;5.000000;0
216;1527570291.534518;2842;-1;5.000000;0
218;1527570291.542220;2842;-1;5.000000;0
