packet_index;timestamp;length;direction;num_cells;ack
0;1527563265.561413;66;1;0.000000;1
1;1527563265.565631;202;1;0.000000;0
5;1527563267.879779;74;1;0.000000;0
6;1527563268.052733;66;-1;0.000000;1
7;1527563268.052998;54;1;0.000000;1
8;1527563268.053239;254;1;0.000000;0
9;1527563268.396386;74;1;0.000000;0
11;1527563268.635560;74;-1;0.000000;1
12;1527563268.635866;66;1;0.000000;1
13;1527563268.635892;258;1;0.000000;0
16;1527563269.205344;1065;-1;1.000000;0
17;1527563269.205546;54;1;0.000000;1
18;1527563269.206301;180;1;0.000000;0
19;1527563269.379488;105;-1;0.000000;0
20;1527563269.379843;94;1;0.000000;0
21;1527563269.436119;78;-1;0.000000;1
22;1527563269.553294;2129;-1;4.000000;0
23;1527563269.553431;54;1;0.000000;1
24;1527563269.554120;1111;1;2.000000;0
25;1527563269.574680;1070;-1;1.000000;0
26;1527563269.574795;66;1;0.000000;1
27;1527563269.575466;192;1;0.000000;0
29;1527563269.732152;597;-1;1.000000;0
30;1527563269.732969;1111;1;2.000000;0
32;1527563269.814572;117;-1;0.000000;0
33;1527563269.814999;106;1;0.000000;0
34;1527563269.914026;3681;-1;7.000000;0
35;1527563269.914258;54;1;0.000000;1
36;1527563270.055913;2115;-1;4.000000;0
37;1527563270.056237;66;1;0.000000;1
38;1527563270.057404;1637;1;3.000000;0
39;1527563270.296451;66;-1;0.000000;1
40;1527563270.305521;1123;-1;2.000000;0
41;1527563270.306843;1123;1;2.000000;0
42;1527563270.587397;66;-1;0.000000;1
43;1527563270.587724;609;1;1.000000;0
44;1527563270.612116;609;-1;1.000000;0
45;1527563270.651655;66;1;0.000000;1
46;1527563270.826132;66;-1;0.000000;1
47;1527563270.826432;609;1;1.000000;0
48;1527563270.890100;1152;-1;2.000000;0
49;1527563270.890400;66;1;0.000000;1
50;1527563271.064860;66;-1;0.000000;1
51;1527563271.065147;1152;1;2.000000;0
53;1527563271.397140;609;1;1.000000;0
54;1527563271.402238;609;-1;1.000000;0
55;1527563271.402526;66;1;0.000000;1
56;1527563271.635558;66;-1;0.000000;1
57;1527563271.635728;609;1;1.000000;0
58;1527563271.640946;1152;-1;2.000000;0
59;1527563271.641261;66;1;0.000000;1
61;1527563271.879806;609;-1;1.000000;0
63;1527563271.880693;609;1;1.000000;0
64;1527563272.118665;609;-1;1.000000;0
65;1527563272.158688;66;1;0.000000;1
66;1527563272.160781;66;-1;0.000000;1
67;1527563272.397176;609;1;1.000000;0
68;1527563272.397237;609;-1;1.000000;0
69;1527563272.397353;66;1;0.000000;1
70;1527563272.635755;66;-1;0.000000;1
71;1527563272.636016;609;1;1.000000;0
72;1527563272.642494;609;-1;1.000000;0
73;1527563272.642627;66;1;0.000000;1
74;1527563272.802695;1454;1;2.000000;0
75;1527563272.917488;66;-1;0.000000;1
76;1527563272.917600;307;1;0.000000;0
78;1527563273.073483;609;-1;1.000000;0
79;1527563273.073657;66;1;0.000000;1
80;1527563273.197429;66;-1;0.000000;1
81;1527563273.312099;1152;-1;2.000000;0
83;1527563273.312660;609;1;1.000000;0
85;1527563273.388678;2842;-1;5.000000;0
86;1527563273.388902;66;1;0.000000;1
87;1527563273.398375;1454;1;2.000000;0
88;1527563273.499039;1454;-1;2.000000;0
89;1527563273.538724;66;1;0.000000;1
90;1527563273.551840;586;-1;1.000000;0
91;1527563273.551864;66;-1;0.000000;1
93;1527563273.552047;307;1;0.000000;0
96;1527563273.790385;609;-1;1.000000;0
97;1527563273.790413;66;-1;0.000000;1
98;1527563273.790651;1152;1;2.000000;0
99;1527563273.833575;4230;-1;8.000000;0
100;1527563273.833891;66;1;0.000000;1
102;1527563274.029160;615;-1;1.000000;0
103;1527563274.029470;609;1;1.000000;0
104;1527563274.041786;1454;1;2.000000;0
105;1527563274.205742;1454;-1;2.000000;0
106;1527563274.245765;66;1;0.000000;1
107;1527563274.268023;249;-1;0.000000;0
108;1527563274.268323;278;1;0.000000;0
109;1527563274.320976;66;-1;0.000000;1
110;1527563274.506837;1152;-1;2.000000;0
111;1527563274.507161;609;1;1.000000;0
112;1527563274.745731;609;-1;1.000000;0
113;1527563274.746041;609;1;1.000000;0
114;1527563274.926138;1454;-1;2.000000;0
115;1527563274.965806;66;1;0.000000;1
116;1527563274.984453;278;-1;0.000000;0
117;1527563274.984777;609;1;1.000000;0
118;1527563275.223256;609;-1;1.000000;0
119;1527563275.223537;609;1;1.000000;0
120;1527563275.462158;609;-1;1.000000;0
121;1527563275.463060;609;1;1.000000;0
122;1527563275.701523;609;-1;1.000000;0
123;1527563275.719520;609;1;1.000000;0
126;1527563275.958107;609;-1;1.000000;0
127;1527563275.958453;609;1;1.000000;0
128;1527563276.196858;609;-1;1.000000;0
129;1527563276.236802;66;1;0.000000;1
130;1527563276.332310;2842;-1;5.000000;0
132;1527563276.475256;917;-1;1.000000;0
134;1527563276.478456;609;1;1.000000;0
135;1527563276.757615;66;-1;0.000000;1
136;1527563276.757895;609;1;1.000000;0
137;1527563276.851318;609;-1;1.000000;0
138;1527563276.890833;66;1;0.000000;1
139;1527563276.996308;66;-1;0.000000;1
140;1527563277.168524;3693;-1;7.000000;0
142;1527563277.189499;2842;-1;5.000000;0
144;1527563277.198170;1454;-1;2.000000;0
145;1527563277.198204;2842;-1;5.000000;0
148;1527563277.215584;1454;-1;2.000000;0
150;1527563277.327090;609;1;1.000000;0
151;1527563277.360102;4230;-1;8.000000;0
152;1527563277.360319;66;1;0.000000;1
154;1527563277.369966;2842;-1;5.000000;0
156;1527563277.386272;2842;-1;5.000000;0
158;1527563277.403598;1454;-1;2.000000;0
159;1527563277.403634;2842;-1;5.000000;0
162;1527563277.421045;2842;-1;5.000000;0
164;1527563277.438426;2100;-1;3.000000;0
166;1527563277.455854;2842;-1;5.000000;0
168;1527563277.473248;4230;-1;8.000000;0
170;1527563277.490640;2842;-1;5.000000;0
172;1527563277.508084;2842;-1;5.000000;0
174;1527563277.509595;1454;1;2.000000;0
175;1527563277.525468;2842;-1;5.000000;0
176;1527563277.525782;66;1;0.000000;1
177;1527563277.565426;66;-1;0.000000;1
178;1527563277.565742;307;1;0.000000;0
179;1527563277.598823;2842;-1;5.000000;0
180;1527563277.599143;66;1;0.000000;1
181;1527563277.607591;2842;-1;5.000000;0
