packet_index;timestamp;length;direction;num_cells;ack
0;1527564744.413761;66;1;0.000000;1
1;1527564744.414028;202;1;0.000000;0
6;1527564747.200067;74;1;0.000000;0
8;1527564747.439671;74;-1;0.000000;1
9;1527564747.439962;66;1;0.000000;1
10;1527564747.440290;260;1;0.000000;0
12;1527564748.388531;1070;-1;1.000000;0
13;1527564748.388842;66;1;0.000000;1
14;1527564748.390204;192;1;0.000000;0
15;1527564748.629689;117;-1;0.000000;0
16;1527564748.630239;106;1;0.000000;0
17;1527564748.871902;2115;-1;4.000000;0
18;1527564748.872135;66;1;0.000000;1
19;1527564748.873415;1637;1;3.000000;0
20;1527564749.112838;66;-1;0.000000;1
21;1527564749.116182;1123;-1;2.000000;0
22;1527564749.117537;1123;1;2.000000;0
24;1527564749.397870;66;-1;0.000000;1
25;1527564749.398157;609;1;1.000000;0
26;1527564749.466067;609;-1;1.000000;0
27;1527564749.505992;66;1;0.000000;1
28;1527564749.637048;66;-1;0.000000;1
29;1527564749.637325;609;1;1.000000;0
30;1527564749.744932;1152;-1;2.000000;0
31;1527564749.745152;66;1;0.000000;1
32;1527564749.876326;66;-1;0.000000;1
33;1527564749.876594;1152;1;2.000000;0
34;1527564749.998821;609;-1;1.000000;0
35;1527564749.999109;66;1;0.000000;1
36;1527564750.115506;66;-1;0.000000;1
37;1527564750.200563;609;1;1.000000;0
38;1527564750.237980;609;-1;1.000000;0
39;1527564750.238183;66;1;0.000000;1
40;1527564750.439439;66;-1;0.000000;1
41;1527564750.439565;609;1;1.000000;0
42;1527564750.477173;1152;-1;2.000000;0
43;1527564750.477459;66;1;0.000000;1
44;1527564750.716352;66;-1;0.000000;1
45;1527564750.716519;609;1;1.000000;0
46;1527564750.791879;609;-1;1.000000;0
47;1527564750.792099;66;1;0.000000;1
48;1527564750.997901;66;-1;0.000000;1
49;1527564751.030977;609;-1;1.000000;0
51;1527564751.031533;609;1;1.000000;0
52;1527564751.199544;1454;1;2.000000;0
53;1527564751.270342;66;-1;0.000000;1
54;1527564751.270541;307;1;0.000000;0
56;1527564751.395931;609;-1;1.000000;0
57;1527564751.436055;66;1;0.000000;1
58;1527564751.438509;66;-1;0.000000;1
60;1527564751.652770;609;1;1.000000;0
61;1527564751.674886;609;-1;1.000000;0
62;1527564751.675172;66;1;0.000000;1
63;1527564751.802350;4230;-1;8.000000;0
65;1527564751.891603;66;-1;0.000000;1
66;1527564751.891922;1152;1;2.000000;0
67;1527564751.914075;1129;-1;2.000000;0
68;1527564751.914371;66;1;0.000000;1
69;1527564752.153384;609;-1;1.000000;0
70;1527564752.153583;1152;1;2.000000;0
71;1527564752.319671;1454;-1;2.000000;0
72;1527564752.359106;66;1;0.000000;1
73;1527564752.392538;792;-1;1.000000;0
74;1527564752.392746;1152;1;2.000000;0
75;1527564752.429995;1454;-1;2.000000;0
76;1527564752.488088;66;1;0.000000;1
77;1527564752.512933;1454;-1;2.000000;0
79;1527564752.527252;1454;1;2.000000;0
80;1527564752.631705;946;-1;1.000000;0
81;1527564752.632038;278;1;0.000000;0
82;1527564752.807916;66;-1;0.000000;1
83;1527564752.871047;1152;-1;2.000000;0
84;1527564752.871841;609;1;1.000000;0
85;1527564753.110840;1152;-1;2.000000;0
86;1527564753.151118;66;1;0.000000;1
87;1527564753.200828;609;1;1.000000;0
88;1527564753.256376;1454;-1;2.000000;0
89;1527564753.256694;66;1;0.000000;1
91;1527564753.390009;278;-1;0.000000;0
93;1527564753.481315;66;-1;0.000000;1
94;1527564753.481568;1152;1;2.000000;0
95;1527564753.629066;609;-1;1.000000;0
96;1527564753.629374;66;1;0.000000;1
97;1527564753.720489;66;-1;0.000000;1
98;1527564753.720808;609;1;1.000000;0
99;1527564753.902279;609;-1;1.000000;0
100;1527564753.902571;66;1;0.000000;1
101;1527564753.959700;66;-1;0.000000;1
102;1527564753.960004;1152;1;2.000000;0
103;1527564754.141435;1152;-1;2.000000;0
104;1527564754.141722;66;1;0.000000;1
105;1527564754.198911;66;-1;0.000000;1
106;1527564754.199198;609;1;1.000000;0
107;1527564754.419422;609;-1;1.000000;0
108;1527564754.419721;66;1;0.000000;1
109;1527564754.438075;66;-1;0.000000;1
110;1527564754.441676;1454;-1;2.000000;0
112;1527564754.490447;1454;-1;2.000000;0
114;1527564754.549595;1454;-1;2.000000;0
116;1527564754.553347;609;1;1.000000;0
117;1527564754.658652;101;-1;0.000000;0
118;1527564754.698141;66;1;0.000000;1
119;1527564754.834719;66;-1;0.000000;1
120;1527564754.835006;609;1;1.000000;0
121;1527564754.975636;609;-1;1.000000;0
122;1527564754.975937;66;1;0.000000;1
124;1527564755.073851;66;-1;0.000000;1
125;1527564755.280461;4143;-1;7.000000;0
127;1527564755.288931;2842;-1;5.000000;0
129;1527564755.306357;1454;-1;2.000000;0
130;1527564755.306372;1454;-1;2.000000;0
133;1527564755.323880;1454;-1;2.000000;0
136;1527564755.388845;4230;-1;8.000000;0
138;1527564755.418527;2842;-1;5.000000;0
140;1527564755.427272;4230;-1;8.000000;0
143;1527564755.444786;1454;-1;2.000000;0
145;1527564755.455017;609;1;1.000000;0
146;1527564755.462131;2842;-1;5.000000;0
147;1527564755.462354;66;1;0.000000;1
148;1527564755.519697;2842;-1;5.000000;0
150;1527564755.528057;2842;-1;5.000000;0
152;1527564755.536766;2842;-1;5.000000;0
154;1527564755.554187;1454;-1;2.000000;0
155;1527564755.571676;2842;-1;5.000000;0
157;1527564755.589073;2842;-1;5.000000;0
159;1527564755.606463;2842;-1;5.000000;0
161;1527564755.628653;2842;-1;5.000000;0
163;1527564755.629139;1454;1;2.000000;0
164;1527564755.641398;2842;-1;5.000000;0
165;1527564755.641596;66;1;0.000000;1
166;1527564755.658778;2842;-1;5.000000;0
168;1527564755.676252;2842;-1;5.000000;0
170;1527564755.693585;2842;-1;5.000000;0
172;1527564755.710966;2842;-1;5.000000;0
174;1527564755.727152;2842;-1;5.000000;0
175;1527564755.727177;66;-1;0.000000;1
176;1527564755.727190;2842;-1;5.000000;0
178;1527564755.727354;821;1;1.000000;0
179;1527564755.727359;66;1;0.000000;1
180;1527564755.743309;2842;-1;5.000000;0
182;1527564755.760134;2842;-1;5.000000;0
184;1527564755.775645;2842;-1;5.000000;0
186;1527564755.785358;2842;-1;5.000000;0
188;1527564755.794421;2842;-1;5.000000;0
190;1527564755.803440;2842;-1;5.000000;0
192;1527564755.812452;2842;-1;5.000000;0
194;1527564755.821262;2842;-1;5.000000;0
196;1527564755.830087;2842;-1;5.000000;0
198;1527564755.838870;2842;-1;5.000000;0
200;1527564755.847647;2842;-1;5.000000;0
202;1527564755.856203;2842;-1;5.000000;0
204;1527564755.864815;2842;-1;5.000000;0
206;1527564755.866479;1454;1;2.000000;0
207;1527564755.873362;2842;-1;5.000000;0
208;1527564755.873514;66;1;0.000000;1
209;1527564755.880955;2842;-1;5.000000;0
211;1527564755.888299;2842;-1;5.000000;0
213;1527564755.895655;2842;-1;5.000000;0
215;1527564755.903031;2842;-1;5.000000;0
217;1527564755.910277;2842;-1;5.000000;0
219;1527564755.917523;2842;-1;5.000000;0
221;1527564755.924499;2842;-1;5.000000;0
223;1527564755.931439;2842;-1;5.000000;0
225;1527564755.938418;2842;-1;5.000000;0
227;1527564755.945319;2842;-1;5.000000;0
228;1527564755.945348;2842;-1;5.000000;0
231;1527564755.952248;2842;-1;5.000000;0
233;1527564755.959153;2842;-1;5.000000;0
235;1527564755.966078;2842;-1;5.000000;0
237;1527564755.972984;2842;-1;5.000000;0
239;1527564755.979892;2842;-1;5.000000;0
241;1527564755.986788;2842;-1;5.000000;0
242;1527564755.986984;1393;1;2.000000;0
243;1527564755.993601;2842;-1;5.000000;0
244;1527564755.993791;66;1;0.000000;1
245;1527564756.000765;2842;-1;5.000000;0
247;1527564756.007225;2842;-1;5.000000;0
249;1527564756.013866;2842;-1;5.000000;0
251;1527564756.020491;2842;-1;5.000000;0
253;1527564756.027061;2842;-1;5.000000;0
255;1527564756.032580;2842;-1;5.000000;0
257;1527564756.038076;2842;-1;5.000000;0
259;1527564756.043986;2842;-1;5.000000;0
261;1527564756.049083;2842;-1;5.000000;0
263;1527564756.054589;2842;-1;5.000000;0
265;1527564756.060037;2842;-1;5.000000;0
267;1527564756.065450;2842;-1;5.000000;0
269;1527564756.070757;2842;-1;5.000000;0
271;1527564756.075887;2842;-1;5.000000;0
273;1527564756.081003;2842;-1;5.000000;0
276;1527564756.085999;2842;-1;5.000000;0
278;1527564756.086492;1454;1;2.000000;0
279;1527564756.091032;2842;-1;5.000000;0
280;1527564756.091224;66;1;0.000000;1
281;1527564756.096132;2842;-1;5.000000;0
282;1527564756.096161;2842;-1;5.000000;0
285;1527564756.101122;2842;-1;5.000000;0
287;1527564756.106114;2842;-1;5.000000;0
289;1527564756.110916;2842;-1;5.000000;0
291;1527564756.115711;2842;-1;5.000000;0
293;1527564756.120423;2842;-1;5.000000;0
295;1527564756.125051;2842;-1;5.000000;0
297;1527564756.129688;2842;-1;5.000000;0
299;1527564756.133808;2842;-1;5.000000;0
301;1527564756.137930;2842;-1;5.000000;0
303;1527564756.141907;2842;-1;5.000000;0
305;1527564756.145953;2842;-1;5.000000;0
307;1527564756.149910;2842;-1;5.000000;0
309;1527564756.153846;2842;-1;5.000000;0
311;1527564756.157772;2842;-1;5.000000;0
313;1527564756.161692;2842;-1;5.000000;0
315;1527564756.165614;2842;-1;5.000000;0
317;1527564756.166061;1454;1;2.000000;0
318;1527564756.169518;2842;-1;5.000000;0
319;1527564756.169813;66;1;0.000000;1
320;1527564756.173436;2842;-1;5.000000;0
322;1527564756.177094;2842;-1;5.000000;0
324;1527564756.180725;2842;-1;5.000000;0
326;1527564756.184324;2842;-1;5.000000;0
328;1527564756.187982;2842;-1;5.000000;0
330;1527564756.191553;2842;-1;5.000000;0
332;1527564756.195013;2842;-1;5.000000;0
333;1527564756.195043;1503;-1;2.000000;0
336;1527564756.216011;1454;1;2.000000;0
337;1527564756.225342;2842;1;5.000000;0
338;1527564756.268029;66;-1;0.000000;1
339;1527564756.268356;2154;1;4.000000;0
345;1527564756.696292;609;-1;1.000000;0
346;1527564756.736201;66;1;0.000000;1
347;1527564756.855553;1454;-1;2.000000;0
349;1527564756.865302;2842;-1;5.000000;0
351;1527564756.866207;4230;-1;8.000000;0
353;1527564756.895421;2842;-1;5.000000;0
355;1527564756.896349;1454;-1;2.000000;0
357;1527564756.898149;2842;-1;5.000000;0
359;1527564756.899931;4230;-1;8.000000;0
362;1527564756.901785;2842;-1;5.000000;0
364;1527564756.903520;2842;-1;5.000000;0
366;1527564756.905323;2842;-1;5.000000;0
368;1527564756.906012;1123;1;2.000000;0
369;1527564756.907087;2842;-1;5.000000;0
370;1527564756.907210;66;1;0.000000;1
371;1527564756.908900;2842;-1;5.000000;0
373;1527564756.910680;2842;-1;5.000000;0
375;1527564756.929014;2842;-1;5.000000;0
377;1527564756.929904;2842;-1;5.000000;0
379;1527564756.959215;2842;-1;5.000000;0
381;1527564756.960169;4230;-1;8.000000;0
383;1527564756.961942;1454;-1;2.000000;0
386;1527564756.969145;2842;-1;5.000000;0
388;1527564756.970013;2842;-1;5.000000;0
390;1527564756.971853;2842;-1;5.000000;0
392;1527564756.975148;917;-1;1.000000;0
393;1527564756.980026;2842;-1;5.000000;0
395;1527564756.980915;2842;-1;5.000000;0
397;1527564756.982712;1454;-1;2.000000;0
398;1527564757.001955;2842;-1;5.000000;0
400;1527564757.002833;1454;-1;2.000000;0
401;1527564757.004642;2842;-1;5.000000;0
403;1527564757.006461;4230;-1;8.000000;0
405;1527564757.008241;2842;-1;5.000000;0
407;1527564757.010168;2842;-1;5.000000;0
409;1527564757.011834;2842;-1;5.000000;0
411;1527564757.013613;2842;-1;5.000000;0
413;1527564757.015399;2842;-1;5.000000;0
415;1527564757.016787;1454;1;2.000000;0
416;1527564757.017120;2842;-1;5.000000;0
417;1527564757.017308;66;1;0.000000;1
418;1527564757.019168;2842;-1;5.000000;0
420;1527564757.020780;2842;-1;5.000000;0
422;1527564757.022586;2842;-1;5.000000;0
424;1527564757.024380;2842;-1;5.000000;0
426;1527564757.026180;2842;-1;5.000000;0
428;1527564757.028066;2842;-1;5.000000;0
430;1527564757.029742;2842;-1;5.000000;0
432;1527564757.031556;2842;-1;5.000000;0
434;1527564757.033322;2842;-1;5.000000;0
436;1527564757.035139;4230;-1;8.000000;0
438;1527564757.036919;1454;-1;2.000000;0
439;1527564757.053082;5618;1;10.000000;0
440;1527564757.075094;4230;-1;8.000000;0
441;1527564757.075308;66;1;0.000000;1
442;1527564757.076032;2842;-1;5.000000;0
444;1527564757.077818;1454;-1;2.000000;0
445;1527564757.085687;2842;-1;5.000000;0
447;1527564757.086101;1454;1;2.000000;0
448;1527564757.086528;1454;-1;2.000000;0
449;1527564757.088391;2842;-1;5.000000;0
450;1527564757.088513;66;1;0.000000;1
451;1527564757.090173;4230;-1;8.000000;0
453;1527564757.091941;2842;-1;5.000000;0
455;1527564757.093687;2842;-1;5.000000;0
457;1527564757.095549;2842;-1;5.000000;0
459;1527564757.097345;1454;-1;2.000000;0
461;1527564757.115418;2842;-1;5.000000;0
463;1527564757.116324;4230;-1;8.000000;0
465;1527564757.118119;1454;-1;2.000000;0
466;1527564757.119960;5618;-1;10.000000;0
468;1527564757.121707;2842;-1;5.000000;0
470;1527564757.134666;2842;-1;5.000000;0
472;1527564757.135525;1454;-1;2.000000;0
473;1527564757.137355;2842;-1;5.000000;0
475;1527564757.139143;4230;-1;8.000000;0
477;1527564757.140956;2842;-1;5.000000;0
479;1527564757.142595;1454;-1;2.000000;0
480;1527564757.142622;1454;-1;2.000000;0
482;1527564757.144558;2842;-1;5.000000;0
484;1527564757.146358;2842;-1;5.000000;0
485;1527564757.146382;66;-1;0.000000;1
487;1527564757.146583;1309;1;2.000000;0
488;1527564757.148130;2842;-1;5.000000;0
489;1527564757.148319;66;1;0.000000;1
490;1527564757.149914;2842;-1;5.000000;0
492;1527564757.151737;2842;-1;5.000000;0
494;1527564757.153501;2842;-1;5.000000;0
496;1527564757.155287;2842;-1;5.000000;0
498;1527564757.157090;2842;-1;5.000000;0
500;1527564757.158878;2842;-1;5.000000;0
502;1527564757.160668;2842;-1;5.000000;0
504;1527564757.162453;1454;-1;2.000000;0
505;1527564757.185123;2842;-1;5.000000;0
507;1527564757.185995;1454;-1;2.000000;0
508;1527564757.187810;2842;-1;5.000000;0
510;1527564757.189596;1454;-1;2.000000;0
511;1527564757.195241;2842;-1;5.000000;0
513;1527564757.196207;1454;-1;2.000000;0
514;1527564757.197962;2842;-1;5.000000;0
516;1527564757.199752;4230;-1;8.000000;0
518;1527564757.201505;1454;-1;2.000000;0
519;1527564757.205186;2842;-1;5.000000;0
521;1527564757.206073;1454;-1;2.000000;0
522;1527564757.207919;2842;-1;5.000000;0
524;1527564757.209669;4230;-1;8.000000;0
526;1527564757.210070;1454;1;2.000000;0
527;1527564757.211517;1454;-1;2.000000;0
528;1527564757.219128;773;-1;1.000000;0
529;1527564757.219438;66;1;0.000000;1
530;1527564757.235151;2842;-1;5.000000;0
532;1527564757.236091;1454;-1;2.000000;0
534;1527564757.292018;66;-1;0.000000;1
536;1527564757.338819;4230;-1;8.000000;0
538;1527564757.339623;2842;-1;5.000000;0
541;1527564757.341595;4230;-1;8.000000;0
543;1527564757.343318;2842;-1;5.000000;0
545;1527564757.345067;2842;-1;5.000000;0
547;1527564757.346890;2842;-1;5.000000;0
549;1527564757.348693;2842;-1;5.000000;0
551;1527564757.350513;2842;-1;5.000000;0
553;1527564757.428107;66;-1;0.000000;1
554;1527564757.428427;1393;1;2.000000;0
556;1527564757.458323;477;-1;0.000000;0
557;1527564757.458582;66;1;0.000000;1
558;1527564757.462555;2842;-1;5.000000;0
560;1527564757.463228;2842;-1;5.000000;0
562;1527564757.464458;4230;-1;8.000000;0
564;1527564757.465624;2842;-1;5.000000;0
566;1527564757.466983;2842;-1;5.000000;0
568;1527564757.468231;2842;-1;5.000000;0
570;1527564757.471823;2842;-1;5.000000;0
572;1527564757.472477;4230;-1;8.000000;0
574;1527564757.473687;2842;-1;5.000000;0
576;1527564757.474996;2842;-1;5.000000;0
578;1527564757.476251;2842;-1;5.000000;0
580;1527564757.477535;2842;-1;5.000000;0
582;1527564757.478654;1454;-1;2.000000;0
583;1527564757.478682;1454;-1;2.000000;0
585;1527564757.480048;2842;-1;5.000000;0
587;1527564757.482192;2842;-1;5.000000;0
589;1527564757.482633;1454;1;2.000000;0
590;1527564757.482749;1454;-1;2.000000;0
591;1527564757.484098;2842;-1;5.000000;0
592;1527564757.484308;66;1;0.000000;1
593;1527564757.513292;4230;-1;8.000000;0
595;1527564757.522230;2842;-1;5.000000;0
597;1527564757.522862;4230;-1;8.000000;0
599;1527564757.524115;1454;-1;2.000000;0
601;1527564757.525382;2842;-1;5.000000;0
603;1527564757.526584;2842;-1;5.000000;0
605;1527564757.527924;2842;-1;5.000000;0
607;1527564757.529146;2842;-1;5.000000;0
609;1527564757.530434;1454;-1;2.000000;0
610;1527564757.532993;2842;-1;5.000000;0
612;1527564757.533514;1454;-1;2.000000;0
613;1527564757.534919;1454;-1;2.000000;0
615;1527564757.543046;2842;-1;5.000000;0
617;1527564757.543548;1454;-1;2.000000;0
618;1527564757.544916;1454;-1;2.000000;0
620;1527564757.545517;1454;1;2.000000;0
621;1527564757.571771;2842;-1;5.000000;0
622;1527564757.571955;66;1;0.000000;1
623;1527564757.572420;1454;-1;2.000000;0
