packet_index;timestamp;length;direction;num_cells;ack
0;1527542209.325514;202;1;0.000000;0
1;1527542209.325670;66;1;0.000000;1
5;1527542211.995734;74;1;0.000000;0
6;1527542212.235889;74;-1;0.000000;1
7;1527542212.236162;66;1;0.000000;1
8;1527542212.236483;250;1;0.000000;0
10;1527542213.160377;1069;-1;1.000000;0
11;1527542213.160686;66;1;0.000000;1
12;1527542213.162047;192;1;0.000000;0
15;1527542213.401923;117;-1;0.000000;0
16;1527542213.402440;106;1;0.000000;0
19;1527542213.643126;2130;-1;4.000000;0
20;1527542213.643357;66;1;0.000000;1
21;1527542213.644533;1637;1;3.000000;0
22;1527542213.884311;66;-1;0.000000;1
23;1527542213.887956;1123;-1;2.000000;0
24;1527542213.889301;1123;1;2.000000;0
25;1527542214.169769;66;-1;0.000000;1
26;1527542214.170094;609;1;1.000000;0
27;1527542214.225884;609;-1;1.000000;0
28;1527542214.265298;66;1;0.000000;1
29;1527542214.409460;66;-1;0.000000;1
30;1527542214.409751;609;1;1.000000;0
31;1527542214.505846;609;-1;1.000000;0
32;1527542214.506060;66;1;0.000000;1
33;1527542214.649178;66;-1;0.000000;1
34;1527542214.649515;609;1;1.000000;0
35;1527542214.887638;609;-1;1.000000;0
36;1527542214.887913;66;1;0.000000;1
37;1527542214.888870;66;-1;0.000000;1
38;1527542214.996679;609;1;1.000000;0
39;1527542215.127245;1152;-1;2.000000;0
40;1527542215.127549;66;1;0.000000;1
41;1527542215.236112;66;-1;0.000000;1
42;1527542215.236455;1152;1;2.000000;0
43;1527542215.366837;609;-1;1.000000;0
44;1527542215.367094;66;1;0.000000;1
46;1527542215.475819;66;-1;0.000000;1
47;1527542215.476114;609;1;1.000000;0
48;1527542215.612809;609;-1;1.000000;0
49;1527542215.613092;66;1;0.000000;1
50;1527542215.715432;66;-1;0.000000;1
51;1527542215.852418;1152;-1;2.000000;0
53;1527542215.853319;609;1;1.000000;0
54;1527542216.035537;1454;1;2.000000;0
55;1527542216.092659;66;-1;0.000000;1
56;1527542216.092934;307;1;0.000000;0
58;1527542216.280916;609;-1;1.000000;0
59;1527542216.320348;66;1;0.000000;1
60;1527542216.373152;66;-1;0.000000;1
61;1527542216.373440;609;1;1.000000;0
62;1527542216.557712;4230;-1;8.000000;0
63;1527542216.558053;66;1;0.000000;1
64;1527542216.575154;615;-1;1.000000;0
66;1527542216.612728;66;-1;0.000000;1
67;1527542216.613010;1152;1;2.000000;0
68;1527542216.788353;1454;-1;2.000000;0
69;1527542216.814796;278;-1;0.000000;0
70;1527542216.814970;66;1;0.000000;1
71;1527542216.815537;1454;1;2.000000;0
72;1527542216.852532;66;-1;0.000000;1
73;1527542216.852702;307;1;0.000000;0
76;1527542217.092246;609;1;1.000000;0
77;1527542217.178675;609;-1;1.000000;0
78;1527542217.218393;66;1;0.000000;1
79;1527542217.287220;4230;-1;8.000000;0
81;1527542217.331741;66;-1;0.000000;1
82;1527542217.341504;1454;-1;2.000000;0
84;1527542217.345484;609;1;1.000000;0
86;1527542217.457663;284;-1;0.000000;0
87;1527542217.458529;1454;1;2.000000;0
