packet_index;timestamp;length;direction;num_cells;ack
0;1527560280.576684;202;1;0.000000;0
1;1527560280.576859;66;1;0.000000;1
3;1527560283.316882;74;1;0.000000;0
4;1527560283.556052;74;-1;0.000000;1
5;1527560283.556338;66;1;0.000000;1
6;1527560283.556659;255;1;0.000000;0
11;1527560285.096391;78;-1;0.000000;1
12;1527560285.226625;1072;-1;1.000000;0
13;1527560285.226916;66;1;0.000000;1
14;1527560285.228275;192;1;0.000000;0
16;1527560285.467317;117;-1;0.000000;0
17;1527560285.467822;106;1;0.000000;0
18;1527560285.708005;2129;-1;4.000000;0
19;1527560285.708326;66;1;0.000000;1
20;1527560285.709576;2151;1;4.000000;0
21;1527560285.948680;66;-1;0.000000;1
23;1527560285.958174;1637;-1;3.000000;0
24;1527560285.958476;66;1;0.000000;1
25;1527560285.959950;1637;1;3.000000;0
26;1527560286.198499;66;-1;0.000000;1
28;1527560286.238720;609;-1;1.000000;0
29;1527560286.239533;609;1;1.000000;0
33;1527560286.478023;1152;-1;2.000000;0
34;1527560286.478337;609;1;1.000000;0
35;1527560286.716806;609;-1;1.000000;0
36;1527560286.717031;1152;1;2.000000;0
37;1527560286.955597;609;-1;1.000000;0
38;1527560286.956536;609;1;1.000000;0
40;1527560287.195014;609;-1;1.000000;0
41;1527560287.234826;66;1;0.000000;1
42;1527560287.317132;609;1;1.000000;0
43;1527560287.473304;1152;-1;2.000000;0
44;1527560287.473528;66;1;0.000000;1
47;1527560287.596048;66;-1;0.000000;1
48;1527560287.596337;609;1;1.000000;0
49;1527560287.712009;609;-1;1.000000;0
50;1527560287.712271;66;1;0.000000;1
51;1527560287.834881;66;-1;0.000000;1
52;1527560287.835173;609;1;1.000000;0
54;1527560288.070520;609;-1;1.000000;0
55;1527560288.070732;66;1;0.000000;1
56;1527560288.073627;66;-1;0.000000;1
57;1527560288.073919;1152;1;2.000000;0
58;1527560288.309143;609;-1;1.000000;0
59;1527560288.312413;66;-1;0.000000;1
60;1527560288.312676;609;1;1.000000;0
61;1527560288.364720;1454;1;2.000000;0
62;1527560288.504350;4230;-1;8.000000;0
63;1527560288.504599;66;1;0.000000;1
64;1527560288.551210;72;-1;0.000000;0
65;1527560288.551514;278;1;0.000000;0
66;1527560288.610621;1454;-1;2.000000;0
67;1527560288.650894;66;1;0.000000;1
68;1527560288.789926;278;-1;0.000000;0
69;1527560288.790244;1152;1;2.000000;0
70;1527560289.028860;1152;-1;2.000000;0
71;1527560289.029204;609;1;1.000000;0
72;1527560289.042600;2842;-1;5.000000;0
73;1527560289.042816;66;1;0.000000;1
74;1527560289.064896;1454;-1;2.000000;0
77;1527560289.203140;1454;-1;2.000000;0
79;1527560289.205585;1454;1;2.000000;0
80;1527560289.267650;255;-1;0.000000;0
81;1527560289.267920;307;1;0.000000;0
82;1527560289.486135;66;-1;0.000000;1
83;1527560289.506348;609;-1;1.000000;0
84;1527560289.506643;609;1;1.000000;0
85;1527560289.652288;1454;-1;2.000000;0
86;1527560289.691909;66;1;0.000000;1
87;1527560289.745119;821;-1;1.000000;0
88;1527560289.745439;609;1;1.000000;0
90;1527560289.983947;609;-1;1.000000;0
91;1527560289.984226;609;1;1.000000;0
93;1527560290.222800;609;-1;1.000000;0
94;1527560290.223016;609;1;1.000000;0
95;1527560290.461598;609;-1;1.000000;0
96;1527560290.483570;609;1;1.000000;0
97;1527560290.722059;609;-1;1.000000;0
98;1527560290.722382;609;1;1.000000;0
99;1527560290.960941;609;-1;1.000000;0
