packet_index;timestamp;length;direction;num_cells;ack
0;1527561561.199600;202;1;0.000000;0
1;1527561561.199798;66;1;0.000000;1
3;1527561564.170000;74;1;0.000000;0
5;1527561564.409103;74;-1;0.000000;1
6;1527561564.409424;66;1;0.000000;1
7;1527561564.409873;252;1;0.000000;0
10;1527561565.341938;1072;-1;1.000000;0
11;1527561565.342247;66;1;0.000000;1
12;1527561565.343041;192;1;0.000000;0
13;1527561565.582098;117;-1;0.000000;0
14;1527561565.582528;106;1;0.000000;0
15;1527561565.824067;2129;-1;4.000000;0
16;1527561565.824398;66;1;0.000000;1
17;1527561565.825532;1637;1;3.000000;0
19;1527561566.064469;66;-1;0.000000;1
20;1527561566.072649;1123;-1;2.000000;0
21;1527561566.073913;1123;1;2.000000;0
22;1527561566.354678;66;-1;0.000000;1
23;1527561566.354958;609;1;1.000000;0
25;1527561566.419470;609;-1;1.000000;0
26;1527561566.458963;66;1;0.000000;1
27;1527561566.593567;66;-1;0.000000;1
28;1527561566.593836;609;1;1.000000;0
29;1527561566.697516;1152;-1;2.000000;0
30;1527561566.697697;66;1;0.000000;1
31;1527561566.832251;66;-1;0.000000;1
32;1527561566.832540;1152;1;2.000000;0
33;1527561566.984751;609;-1;1.000000;0
34;1527561566.984921;66;1;0.000000;1
35;1527561567.071021;66;-1;0.000000;1
36;1527561567.170556;609;1;1.000000;0
37;1527561567.223442;609;-1;1.000000;0
38;1527561567.223751;66;1;0.000000;1
39;1527561567.409043;66;-1;0.000000;1
40;1527561567.409355;609;1;1.000000;0
41;1527561567.462233;609;-1;1.000000;0
42;1527561567.462490;66;1;0.000000;1
43;1527561567.647822;66;-1;0.000000;1
44;1527561567.648127;609;1;1.000000;0
47;1527561567.945395;609;-1;1.000000;0
48;1527561567.945658;66;1;0.000000;1
49;1527561568.157474;609;1;1.000000;0
50;1527561568.184179;609;-1;1.000000;0
51;1527561568.184293;66;1;0.000000;1
52;1527561568.185868;1454;1;2.000000;0
54;1527561568.395903;66;-1;0.000000;1
55;1527561568.396031;307;1;0.000000;0
57;1527561568.435617;609;-1;1.000000;0
58;1527561568.475039;66;1;0.000000;1
60;1527561568.662879;4230;-1;8.000000;0
61;1527561568.663203;609;1;1.000000;0
62;1527561568.713457;72;-1;0.000000;0
63;1527561568.753056;66;1;0.000000;1
64;1527561568.815791;1454;-1;2.000000;0
66;1527561568.951308;66;-1;0.000000;1
67;1527561568.951560;1152;1;2.000000;0
68;1527561568.991500;821;-1;1.000000;0
69;1527561568.991816;66;1;0.000000;1
70;1527561569.190041;66;-1;0.000000;1
71;1527561569.190340;1123;1;2.000000;0
72;1527561569.230269;609;-1;1.000000;0
73;1527561569.230526;66;1;0.000000;1
76;1527561569.428843;66;-1;0.000000;1
77;1527561569.429154;609;1;1.000000;0
78;1527561569.456078;1454;-1;2.000000;0
79;1527561569.456407;66;1;0.000000;1
80;1527561569.469144;821;-1;1.000000;0
82;1527561569.694837;66;-1;0.000000;1
83;1527561569.695138;609;1;1.000000;0
84;1527561569.792775;609;-1;1.000000;0
85;1527561569.793041;66;1;0.000000;1
86;1527561569.974799;66;-1;0.000000;1
87;1527561569.975089;1123;1;2.000000;0
88;1527561570.031499;609;-1;1.000000;0
89;1527561570.031772;66;1;0.000000;1
90;1527561570.213670;66;-1;0.000000;1
91;1527561570.213964;1152;1;2.000000;0
93;1527561570.338972;609;-1;1.000000;0
94;1527561570.339258;66;1;0.000000;1
96;1527561570.417294;2842;-1;5.000000;0
98;1527561570.452442;66;-1;0.000000;1
99;1527561570.455596;1454;-1;2.000000;0
101;1527561570.459265;609;1;1.000000;0
102;1527561570.577576;72;-1;0.000000;0
103;1527561570.578353;1454;1;2.000000;0
104;1527561570.741338;66;-1;0.000000;1
105;1527561570.741640;278;1;0.000000;0
106;1527561570.816934;609;-1;1.000000;0
107;1527561570.857116;66;1;0.000000;1
109;1527561571.021390;66;-1;0.000000;1
110;1527561571.028600;1454;-1;2.000000;0
112;1527561571.095572;1364;-1;2.000000;0
114;1527561571.096521;609;1;1.000000;0
115;1527561571.334961;66;-1;0.000000;1
116;1527561571.335245;1152;1;2.000000;0
117;1527561571.491856;609;-1;1.000000;0
118;1527561571.532120;66;1;0.000000;1
119;1527561571.573715;66;-1;0.000000;1
120;1527561571.770584;609;-1;1.000000;0
122;1527561571.771519;609;1;1.000000;0
123;1527561572.009289;609;-1;1.000000;0
124;1527561572.009915;66;-1;0.000000;1
125;1527561572.031656;609;1;1.000000;0
126;1527561572.270128;609;-1;1.000000;0
127;1527561572.270435;609;1;1.000000;0
129;1527561572.509093;609;-1;1.000000;0
130;1527561572.509407;609;1;1.000000;0
131;1527561572.666778;2842;-1;5.000000;0
132;1527561572.667002;66;1;0.000000;1
133;1527561572.747887;917;-1;1.000000;0
134;1527561572.751367;609;1;1.000000;0
135;1527561572.989882;609;-1;1.000000;0
136;1527561572.990192;609;1;1.000000;0
137;1527561573.228718;609;-1;1.000000;0
138;1527561573.268173;66;1;0.000000;1
139;1527561573.425635;5618;-1;10.000000;0
142;1527561573.434356;1454;-1;2.000000;0
144;1527561573.451761;2842;-1;5.000000;0
146;1527561573.469157;1454;-1;2.000000;0
147;1527561573.469182;1454;-1;2.000000;0
150;1527561573.506563;84;-1;0.000000;0
152;1527561573.565541;4230;-1;8.000000;0
154;1527561573.575464;2842;-1;5.000000;0
156;1527561573.591634;2842;-1;5.000000;0
158;1527561573.594695;609;1;1.000000;0
159;1527561573.615436;2842;-1;5.000000;0
160;1527561573.615750;66;1;0.000000;1
161;1527561573.664463;2842;-1;5.000000;0
162;1527561573.664492;2842;-1;5.000000;0
165;1527561573.673226;1454;-1;2.000000;0
166;1527561573.690609;2842;-1;5.000000;0
168;1527561573.708013;2842;-1;5.000000;0
170;1527561573.725431;2842;-1;5.000000;0
172;1527561573.745394;2842;-1;5.000000;0
174;1527561573.745802;1454;1;2.000000;0
175;1527561573.804253;5618;-1;10.000000;0
176;1527561573.804524;66;1;0.000000;1
177;1527561573.812988;2842;-1;5.000000;0
179;1527561573.830413;2842;-1;5.000000;0
181;1527561573.847281;2842;-1;5.000000;0
183;1527561573.862122;2842;-1;5.000000;0
185;1527561573.876938;2842;-1;5.000000;0
186;1527561573.877246;850;1;1.000000;0
187;1527561573.891785;2842;-1;5.000000;0
188;1527561573.892018;66;1;0.000000;1
189;1527561573.906963;2842;-1;5.000000;0
191;1527561573.915833;2842;-1;5.000000;0
193;1527561573.924948;2842;-1;5.000000;0
195;1527561573.934079;2842;-1;5.000000;0
197;1527561573.943244;2842;-1;5.000000;0
199;1527561573.952394;2842;-1;5.000000;0
201;1527561573.961580;2842;-1;5.000000;0
203;1527561573.970763;2842;-1;5.000000;0
205;1527561573.979638;2842;-1;5.000000;0
207;1527561573.988502;2842;-1;5.000000;0
209;1527561573.996416;2842;-1;5.000000;0
211;1527561574.004304;2842;-1;5.000000;0
213;1527561574.012257;2842;-1;5.000000;0
215;1527561574.020153;2842;-1;5.000000;0
217;1527561574.020616;1454;1;2.000000;0
218;1527561574.043114;2842;-1;5.000000;0
219;1527561574.043438;66;1;0.000000;1
220;1527561574.046878;2842;-1;5.000000;0
222;1527561574.054470;2842;-1;5.000000;0
224;1527561574.061683;2842;-1;5.000000;0
225;1527561574.061712;2842;-1;5.000000;0
228;1527561574.068924;2842;-1;5.000000;0
230;1527561574.076126;2842;-1;5.000000;0
232;1527561574.083324;2842;-1;5.000000;0
234;1527561574.090551;2842;-1;5.000000;0
236;1527561574.097767;2842;-1;5.000000;0
238;1527561574.104980;2842;-1;5.000000;0
240;1527561574.112177;2842;-1;5.000000;0
242;1527561574.119395;2842;-1;5.000000;0
243;1527561574.119629;850;1;1.000000;0
244;1527561574.126569;2842;-1;5.000000;0
245;1527561574.126876;66;1;0.000000;1
246;1527561574.133647;2842;-1;5.000000;0
248;1527561574.140690;2842;-1;5.000000;0
250;1527561574.147645;2842;-1;5.000000;0
252;1527561574.154481;2842;-1;5.000000;0
254;1527561574.161333;2842;-1;5.000000;0
256;1527561574.167234;2842;-1;5.000000;0
258;1527561574.173137;2842;-1;5.000000;0
260;1527561574.179044;2842;-1;5.000000;0
262;1527561574.184951;2842;-1;5.000000;0
264;1527561574.190737;2842;-1;5.000000;0
266;1527561574.196550;2842;-1;5.000000;0
268;1527561574.202152;2842;-1;5.000000;0
270;1527561574.207631;2842;-1;5.000000;0
272;1527561574.213133;2842;-1;5.000000;0
274;1527561574.213606;1454;1;2.000000;0
275;1527561574.218443;2842;-1;5.000000;0
276;1527561574.218472;2842;-1;5.000000;0
277;1527561574.218648;66;1;0.000000;1
279;1527561574.223679;2842;-1;5.000000;0
281;1527561574.228870;2842;-1;5.000000;0
